UID,Country,City,Distance
Kyoto.1,Japan,Kyoto,23.542473765066298
Kyoto.2,Japan,Kyoto,21.776365755422816
Kyoto.3,Japan,Kyoto,21.660087413452743
Kyoto.4,Japan,Kyoto,23.218439158863134
Kyoto.5,Japan,Kyoto,21.088995874548583
Kyoto.6,Japan,Kyoto,17.02487348506433
Kyoto.7,Japan,Kyoto,14.487003602226203
Kyoto.8,Japan,Kyoto,14.31176618845719
Kyoto.9,Japan,Kyoto,16.57427083260587
Kyoto.10,Japan,Kyoto,20.48200792465426
Kyoto.11,Japan,Kyoto,22.811175553514538
Kyoto.12,Japan,Kyoto,17.05024238969543
Kyoto.13,Japan,Kyoto,11.659211980086248
Kyoto.14,Japan,Kyoto,7.485263857684795
Kyoto.15,Japan,Kyoto,7.14049399671099
Kyoto.16,Japan,Kyoto,10.991344993028866
Kyoto.17,Japan,Kyoto,16.294114715583476
Kyoto.18,Japan,Kyoto,22.02389879962951
Kyoto.19,Japan,Kyoto,21.831718566081474
Kyoto.20,Japan,Kyoto,15.721703566329298
Kyoto.21,Japan,Kyoto,9.61896311916827
Kyoto.22,Japan,Kyoto,3.561105239625414
Kyoto.23,Japan,Kyoto,2.764607762316318
Kyoto.24,Japan,Kyoto,8.798250417592286
Kyoto.25,Japan,Kyoto,14.89898996991899
Kyoto.26,Japan,Kyoto,21.00845225512524
Kyoto.27,Japan,Kyoto,23.310893890119125
Kyoto.28,Japan,Kyoto,17.72379766920287
Kyoto.29,Japan,Kyoto,12.633750988620873
Kyoto.30,Japan,Kyoto,8.9349775760556
Kyoto.31,Japan,Kyoto,8.64867160369353
Kyoto.32,Japan,Kyoto,12.021179433965191
Kyoto.33,Japan,Kyoto,22.542353011515498
Kyoto.34,Japan,Kyoto,22.17199938185382
Kyoto.35,Japan,Kyoto,18.363075187240547
Kyoto.36,Japan,Kyoto,16.046491983117768
Kyoto.37,Japan,Kyoto,15.888980976725247
Kyoto.38,Japan,Kyoto,17.94747801634114
Kyoto.39,Japan,Kyoto,21.59737543124279
Kyoto.40,Japan,Kyoto,23.35922484788452
Kyoto.41,Japan,Kyoto,23.251393870424835
