UID,Country,City,Sample_Type,Latitude,Longitude,Distance,Standardized_Distance,GMIS_Mean,HII,Mean_NDVI,Min_NDVI,Max_NDVI,Mean_Annual_Temperature,Temperature_Seasonality,Range_Annual_Temperature,Annual_Precipitation,Precipitation_Seasonality,Aridity_Index
Athens.1.GLUE,USA,Athens,GLUE,33.91895,-83.3482,5.228596006536147,0.29884978889135344,4.225563909774436,58,5795.739130434783,3584.6,7694.4,16.600000381469727,7.495665893554688,32.5,1260,15.954277992248535,8287
Athens.2.GLUE,USA,Athens,GLUE,33.92145,-83.34671,5.061289689068823,0.28928709603981234,19.348484848484848,58,4941.347826086957,3265.4,6316,16.600000381469727,7.495665893554688,32.5,1260,15.954277992248535,8287
Athens.3.GLUE,USA,Athens,GLUE,33.9304167,-83.3591667,3.631706303839009,0.2075766918807522,11.276515151515152,58,5891.869565217392,3909.8,7599.4,16.78333282470703,7.52373046875,32.60000228881836,1250,15.930915832519531,8167
Athens.4.GLUE,USA,Athens,GLUE,33.929467,-83.363833,3.568651901180529,0.2039727043285296,31.581132075471697,58,3884.565217391305,2281.2,6008,16.78333282470703,7.52373046875,32.60000228881836,1250,15.930915832519531,8167
Athens.5.GLUE,USA,Athens,GLUE,33.9721167,-83.3884667,1.7702814688005062,0.10118361460092831,76.86311787072243,60,3102.8347826086956,1592.2,5386,16.679166793823242,7.508251953125,32.5,1265,15.680561065673828,8334
Athens.6.GLUE,USA,Athens,GLUE,33.968483,-83.3708,1.05658110053747,0.060390789123407826,23.45,58,5461.617391304348,3596.2,7370.8,16.629167556762695,7.53279052734375,32.599998474121094,1268,15.61249542236328,8338
Athens.7.GLUE,USA,Athens,GLUE,33.9642,-83.3778833,0.4973275820470068,0.028425650541522237,34.454198473282446,60,4829.669565217391,3217.4,6456.6,16.649999618530273,7.510386962890625,32.5,1268,15.61249542236328,8346
Athens.8.GLUE,USA,Athens,GLUE,33.96295,-83.3759,0.32734949463032703,0.01871024788330778,42.742537313432834,60,4220,2243.8,6105.6,16.649999618530273,7.510386962890625,32.5,1268,15.61249542236328,8346
Athens.9.GLUE,USA,Athens,GLUE,33.96325,-83.3747667,0.378088062543901,0.021610301796569774,44.32954545454545,60,4220,2243.8,6105.6,16.691667556762695,7.512832641601563,32.5,1259,15.816187858581545,8282
Athens.10.GLUE,USA,Athens,GLUE,33.95515,-83.371033,0.7072392411412151,0.04042352816062266,55.72932330827068,58,3619.382608695653,2149,5368.2,16.712499618530273,7.51810302734375,32.60000228881836,1259,15.816187858581545,8292
Athens.11.GLUE,USA,Athens,GLUE,33.9509167,-83.3704833,1.1292246370851962,0.06454286083337944,35.52075471698113,58,4431.139130434783,2743,6369.8,16.712499618530273,7.51810302734375,32.60000228881836,1259,15.816187858581545,8292
Athens.12.GLUE,USA,Athens,GLUE,33.942483,-83.37265,1.9675336237454304,0.11245791553945265,57.17293233082707,58,3279.295652173913,2043.4,4922.4,16.745832443237305,7.516420288085937,32.60000228881836,1258,15.727688789367676,8250
Athens.13.GLUE,USA,Athens,GLUE,33.936483,-83.373533,2.6184894872868405,0.14966446623752755,29.26691729323308,50,4873.217391304348,2517,6732.6,16.799999237060547,7.515136108398438,32.599998474121094,1253,16.105966567993164,8190
Athens.14.GLUE,USA,Athens,GLUE,33.9336,-83.3707833,2.9677685597936816,0.16962813850296013,25.02611940298507,50,4856.765217391305,2613.6,7005.4,16.799999237060547,7.515136108398438,32.599998474121094,1253,16.105966567993164,8190
Athens.15.GLUE,USA,Athens,GLUE,33.92095,-83.343233,5.285664036844651,0.3021116145877396,48.62641509433962,58,4242.765217391305,2529.4,6076.6,16.600000381469727,7.495665893554688,32.5,1260,15.954277992248535,8287
Athens.16.GLUE,USA,Athens,GLUE,33.92615,-83.3302,5.65904631311682,0.323452948724135,18.523076923076925,38,5134.365217391304,3385.4,7049,16.629167556762695,7.517175903320313,32.5,1262,15.836980819702148,8272
Athens.17.GLUE,USA,Athens,GLUE,33.9111,-83.3140167,7.890530139170616,0.4509974118069583,8.6,31,6084.791304347827,3095.6,7645.6,16.46666717529297,7.478099365234375,32.400001525878906,1259,16.19590187072754,8317
Athens.18.GLUE,USA,Athens,GLUE,33.904883,-83.31665,8.215100967503481,0.46954884003096214,13.35632183908046,28,5860.217391304348,3770,8128,16.450000762939453,7.468388061523438,32.400001525878906,1256,16.233592987060547,8321
Athens.19.GLUE,USA,Athens,GLUE,33.9047333,-83.2965667,9.56649168377532,0.5467900018577153,3.7196969696969697,28,6627.652173913043,4250.6,8260.2,16.495832443237305,7.471322631835937,32.5,1249,16.364633560180664,8252
Athens.20.GLUE,USA,Athens,GLUE,33.8954167,-83.2881,10.833929758886471,0.6192326998030786,0,28,6344.817391304347,4277.6,8046.4,16.39583396911621,7.443803100585938,32.400001525878906,1251,16.516895294189453,8310
Athens.21.GLUE,USA,Athens,GLUE,33.874783,-83.2873167,12.514061538796003,0.7152636471373046,0.20224719101123595,18,6701.791304347827,4204.8,8480,16.34583282470703,7.42080810546875,32.30000305175781,1249,16.67362403869629,8323
Athens.22.GLUE,USA,Athens,GLUE,33.8483167,-83.2839667,15.030518639402514,0.8590962691892459,0.2681992337164751,18,6486,4855.2,8187.8,16.391666412353516,7.41898193359375,32.400001525878906,1239,16.948978424072266,8257
Athens.23.GLUE,USA,Athens,GLUE,33.8393,-83.27975,16.07779911554578,0.9189554644329027,0,18,6820.826086956522,5144.8,8228.8,16.399999618530273,7.417608032226562,32.400001525878906,1237,17.0910701751709,8238
Athens.24.GLUE,USA,Athens,GLUE,33.825083,-83.2780167,17.495732641915964,1,0,18,7044.434782608696,5272.4,8542.2,16.424999237060547,7.421268310546875,32.400001525878906,1234,17.065031051635742,8214
Athens.25.GLUE,USA,Athens,GLUE,33.8540833,-83.3090833,13.278750255875678,0.7589708032039015,0.41198501872659177,18,6426.739130434783,4516.4,8105.8,16.358333587646484,7.41864501953125,32.30000305175781,1245,16.858251571655273,8304
Athens.26.GLUE,USA,Athens,GLUE,33.913367,-83.3424333,6.032120584287448,0.34477667827615294,6.228136882129277,42,6300.24347826087,4463.8,7654.2,16.53333282470703,7.46456298828125,32.39999771118164,1260,16.060420989990234,8309
Athens.27.GLUE,USA,Athens,GLUE,33.9056167,-83.3377,6.9948329523711035,0.3998022315231891,12.823308270676693,39,5838.939130434783,3942.6,7558,16.454166412353516,7.46824951171875,32.400001525878906,1258,16.275489807128906,8344
Athens.28.GLUE,USA,Athens,GLUE,33.901567,-83.3369667,7.418502017280546,0.4240177973174688,12.526515151515152,39,5421.643478260869,3175,7612.2,16.454166412353516,7.46824951171875,32.400001525878906,1258,16.275489807128906,8344
Atlanta.1.GLUE,USA,Atlanta,GLUE,33.580935,-84.690674,34.258532594113284,1,0.49808429118773945,18,6407.182608695653,2913,8336.8,15.858333587646484,7.297628173828125,31.5,1315,17.85614776611328,9321
Atlanta.2.GLUE,USA,Atlanta,GLUE,33.578665,-84.680071,33.60626937443599,0.9809605616386099,0,18,7203.547826086957,5207.6,8612.4,15.850000381469728,7.296325073242188,31.5,1319,17.64405059814453,9336
Atlanta.3.GLUE,USA,Atlanta,GLUE,33.575253,-84.671089,33.168855306746366,0.9681925288430433,2.1444866920152093,18,6705.060869565217,4321.4,8249.4,15.87083339691162,7.30909912109375,31.5,1317,17.794601440429688,9311
Atlanta.4.GLUE,USA,Atlanta,GLUE,33.572524,-84.662849,32.7568524514277,0.9561662444659518,0,21,6458.913043478261,4090.2,8395,15.87916660308838,7.3068914794921875,31.5,1319,17.639862060546875,9311
Atlanta.5.GLUE,USA,Atlanta,GLUE,33.572719,-84.651049,31.898649453078782,0.9311154634381508,0.14885496183206107,21,6831.634782608696,3595.2,8364.8,15.891666412353516,7.309888305664063,31.5,1319,17.731781005859375,9301
Atlanta.6.GLUE,USA,Atlanta,GLUE,33.571768,-84.63809,31.05924892972873,0.9066135230516472,2.5846153846153848,34,5987.373913043478,3775.6,7933,15.9375,7.321268310546875,31.399999618530273,1316,17.365705490112305,9262
Atlanta.7.GLUE,USA,Atlanta,GLUE,33.575296,-84.630425,30.268313295203814,0.883526263480558,3.1192307692307693,34,5598.026086956522,3733.8,7640,15.945833206176758,7.327949829101563,31.399999618530273,1317,17.466697692871094,9270
Atlanta.8.GLUE,USA,Atlanta,GLUE,33.573607,-84.619066,29.623396384356052,0.8647012624658157,14.193916349809886,34,5829.24347826087,3830.6,7630.8,15.991666793823242,7.348680419921875,31.5,1315,17.30215835571289,9234
Atlanta.9.GLUE,USA,Atlanta,GLUE,33.574739,-84.609136,28.87552120935209,0.8428709294546326,4.837209302325581,44,6859.234782608695,4968.2,8409.4,16.016666412353516,7.364822387695312,31.5,1313,17.422687530517578,9205
Atlanta.10.GLUE,USA,Atlanta,GLUE,33.574918,-84.59891,28.19549437090947,0.8230210763830077,3.147169811320755,46,6518.026086956522,3117.6,8087.8,16.070833206176758,7.38984130859375,31.600000381469727,1312,17.349435806274414,9168
Atlanta.11.GLUE,USA,Atlanta,GLUE,33.56886,-84.584804,27.807927832088954,0.8117080834007248,12.455938697318008,58,6473.417391304348,4390.6,8049.6,16.125,7.393040161132813,31.5,1307,17.11503028869629,9107
Atlanta.12.GLUE,USA,Atlanta,GLUE,33.569995,-84.574178,27.07404828801499,0.7902862801738093,34.77272727272727,50,4861.991304347826,3011,6868.8,16.141666412353516,7.407484741210937,31.600000381469727,1307,17.11503028869629,9102
Atlanta.13.GLUE,USA,Atlanta,GLUE,33.57685,-84.559421,25.621458653332024,0.747885467159052,24.82824427480916,50,5584.478260869565,3696.8,7415.4,16.174999237060547,7.41477294921875,31.5,1307,17.123821258544922,9070
Atlanta.14.GLUE,USA,Atlanta,GLUE,33.583024,-84.549447,24.511984088053296,0.7155001172544455,22.482889733840302,58,6184.147826086956,3788.2,8181,16.22083282470703,7.42546142578125,31.600000381469727,1301,17.10468101501465,9035
