Country,City,Random_Point_Latitude,Random_Point_Longitude
Belgium,Ghent,51.05415769775828,3.8147813474712007
Belgium,Ghent,51.06585243205983,3.801835380650193
Belgium,Ghent,50.96626669610807,3.6948412442852314
Belgium,Ghent,51.03298067852452,3.755498733830278
Belgium,Ghent,50.99118658328885,3.8004174287823194
Belgium,Ghent,51.044093973743806,3.781111197333709
Belgium,Ghent,51.05241710314436,3.7108466949900234
Belgium,Ghent,51.090256625236655,3.660200204935151
Belgium,Ghent,51.00341720211692,3.6365693156398735
Belgium,Ghent,51.020199619278735,3.707296801576933
Belgium,Ghent,51.06542547962534,3.682223854985602
Belgium,Ghent,50.992811363993454,3.715116112126014
Belgium,Ghent,51.12273720738835,3.794914376989209
Belgium,Ghent,51.01263567098912,3.78952523425327
Belgium,Ghent,50.97769611761779,3.796781464524553
Belgium,Ghent,51.10198089879832,3.629137093306979
Belgium,Ghent,51.075774911686416,3.6387098611847706
Belgium,Ghent,51.05509166252518,3.832716794206798
Belgium,Ghent,51.09419566868296,3.739790105654572
Belgium,Ghent,51.04461077261362,3.654334467055869
Belgium,Ghent,51.05381631272399,3.612073889881461
Belgium,Ghent,51.00494053574835,3.6454294763487294
Belgium,Ghent,51.07147280064223,3.763405053166303
Belgium,Ghent,51.00569059615287,3.7543269264244254
Belgium,Ghent,51.13997202395302,3.728127201157637
Belgium,Ghent,51.01117409726341,3.692919298740763
Belgium,Ghent,51.1197737587637,3.6899999545430795
Belgium,Ghent,51.05480181497115,3.7401885047217918
Belgium,Ghent,51.04576692027837,3.73589357278359
Belgium,Ghent,51.01975848233098,3.823913239753602
Belgium,Ghent,51.10464718452153,3.8161935357760277
Belgium,Ghent,51.0097012016625,3.80574460337207
Belgium,Ghent,51.01210449213801,3.784114044818292
Belgium,Ghent,51.069723515281034,3.603474685664641
Belgium,Ghent,51.13595380177511,3.735337437180809
Belgium,Ghent,51.049034508942746,3.7448115167144014
Belgium,Ghent,51.1194202915591,3.82500934400017
Belgium,Ghent,51.13815334853989,3.7684957014015388
Belgium,Ghent,51.13195709347848,3.7626901224853317
Belgium,Ghent,51.07672064804746,3.7905949431054666
