UID,Country,City,Mean_Annual_Temperature,Temperature_Seasonality,Range_Annual_Temperature,Annual_Precipitation,Precipitation_Seasonality
Sioux_Falls.1,USA,Sioux_Falls,7.616666793823242,11.85904541015625,45.099998474121094,606,54.77405548095703
Sioux_Falls.2,USA,Sioux_Falls,7.583333492279053,11.843876953125,45,611,54.50773239135742
Sioux_Falls.3,USA,Sioux_Falls,7.608333587646484,11.838800048828125,44.900001525878906,609,54.77425003051758
Sioux_Falls.4,USA,Sioux_Falls,7.645833492279053,11.83944580078125,45,610,55.513431549072266
Sioux_Falls.5,USA,Sioux_Falls,7.574999809265137,11.8661572265625,45.099998474121094,608,53.92476272583008
Sioux_Falls.6,USA,Sioux_Falls,7.650000095367432,11.900936279296875,45.30000305175781,607,53.765411376953125
Sioux_Falls.7,USA,Sioux_Falls,7.754166603088379,11.9229052734375,45.400001525878906,611,53.73496627807617
Sioux_Falls.8,USA,Sioux_Falls,7.758333206176758,11.9167529296875,45.400001525878906,611,54.222347259521484
Sioux_Falls.9,USA,Sioux_Falls,7.708333492279053,11.889144287109374,45.29999923706055,611,54.209903717041016
Sioux_Falls.10,USA,Sioux_Falls,7.612500190734863,11.84730712890625,45.099998474121094,616,54.50099563598633
Sioux_Falls.11,USA,Sioux_Falls,7.449999809265137,11.8359423828125,45,608,53.684242248535156
Sioux_Falls.12,USA,Sioux_Falls,7.5,11.87644775390625,45.099998474121094,609,53.444252014160156
Sioux_Falls.13,USA,Sioux_Falls,7.683333396911621,11.927247314453124,45.400001525878906,612,53.52049255371094
Sioux_Falls.14,USA,Sioux_Falls,7.849999904632568,11.992117919921874,45.70000076293945,605,53.337059020996094
Sioux_Falls.15,USA,Sioux_Falls,7.9041666984558105,11.99229736328125,45.69999694824219,606,53.635833740234375
Sioux_Falls.16,USA,Sioux_Falls,7.650000095367432,11.918262939453125,45.400001525878906,613,53.53172302246094
Sioux_Falls.17,USA,Sioux_Falls,7.608333110809326,11.85178955078125,45.30000305175781,611,54.31557083129883
Sioux_Falls.18,USA,Sioux_Falls,7.545833110809326,11.83216796875,45.099998474121094,619,54.15163803100586
Sioux_Falls.19,USA,Sioux_Falls,7.383333206176758,11.85022705078125,45.099998474121094,608,52.936832427978516
Sioux_Falls.20,USA,Sioux_Falls,7.433333396911621,11.879132080078126,45.099998474121094,607,53.33155059814453
Sioux_Falls.21,USA,Sioux_Falls,7.495833396911621,11.883648681640626,45.099998474121094,609,53.32343673706055
Sioux_Falls.22,USA,Sioux_Falls,7.674999713897705,11.929652099609376,45.400001525878906,610,53.08946228027344
Sioux_Falls.23,USA,Sioux_Falls,7.787499904632568,11.9552783203125,45.599998474121094,604,53.564720153808594
Sioux_Falls.24,USA,Sioux_Falls,7.5333333015441895,11.907432861328125,45.5,609,53.2406120300293
Sioux_Falls.25,USA,Sioux_Falls,7.5,11.858521728515624,45.29999923706055,610,53.55902862548828
Sioux_Falls.26,USA,Sioux_Falls,7.566666603088379,11.876588134765624,45.400001525878906,617,53.96326446533203
Sioux_Falls.27,USA,Sioux_Falls,7.295833587646484,11.866060791015625,45,607,53.13258361816406
Sioux_Falls.28,USA,Sioux_Falls,7.308333396911621,11.8579052734375,45,606,53.2574577331543
Sioux_Falls.29,USA,Sioux_Falls,7.4083333015441895,11.864822998046876,45.099998474121094,604,52.858028411865234
Sioux_Falls.30,USA,Sioux_Falls,7.395833492279053,11.879957275390625,45.20000076293945,605,53.16270065307617
Sioux_Falls.31,USA,Sioux_Falls,7.362500190734863,11.87794189453125,45.20000076293945,610,53.07033920288086
Sioux_Falls.32,USA,Sioux_Falls,7.383333206176758,11.84809814453125,45.099998474121094,615,53.1024055480957
Sioux_Falls.33,USA,Sioux_Falls,7.1875,11.855457763671875,44.900001525878906,609,53.100154876708984
Sioux_Falls.34,USA,Sioux_Falls,7.300000190734863,11.85666259765625,45,603,52.66074752807617
Sioux_Falls.35,USA,Sioux_Falls,7.254166603088379,11.858895263671876,45.099998474121094,609,53.0425910949707
Sioux_Falls.36,USA,Sioux_Falls,7.287499904632568,11.872161865234375,45.099998474121094,611,53.40126037597656
