City,urban_environmental_variable,Distance,Sampling_Design,Distance_by_Sampling_Design,eta2_Predictor,eta2_Sampling_Design,eta2_Interaction,R2_adjusted
Albuquerque,ISC,0.42178,0.01437,0,0.44508914123922877,0.1126401143915284,0.18699888027340145,0.5152167135184111
Almada,ISC,0.28225,0.11557,0.05519,0.18986616364465236,0.074928871625014,0.04621289076466699,0.2346829736265731
Amsterdam,ISC,0,0.83346,0.148,0.27784802848629697,0.09882577664816607,0.03424263749328697,0.3164442058568534
Anchorage,ISC,0,7e-5,0.05737,0.6740670093565749,0.22836898287397397,0.04897645783793737,0.6934684968269061
Antwerp,ISC,0,4.4e-4,0.00751,0.44081115537308074,0.08325467020297575,0.07640731468594278,0.46648954950837507
Armidale,ISC,0,0,0,0.44877717335674017,0.0527365155795167,0.2093183359989282,0.5099428576024871
Athens,ISC,0,0,2e-5,0.5992459687666742,0.1469666016383788,0.21007415407197952,0.6357189682943305
Atlanta,ISC,0,3e-5,0.00739,0.4836240445439208,0.11900367520804107,0.0683366650561322,0.5144897109555253
Atlantic_City,ISC,0,0,0,0.5013050870827154,0.3671309239777824,0.2967585240591096,0.6529309129695579
Baltimore,ISC,0,8.2e-4,0.00173,0.5149831213416578,0.026612366197303436,0.09798606325835117,0.5231745148254712
Barrie,ISC,0,0.42935,0.82529,0.4341678413771106,0.16595145688511156,0.009901975212925854,0.45464332136862917
Baton_Rouge,ISC,0.09434,0,0,0.35656177869137773,0.06604208499593689,0.21746055749780788,0.4526773841001811
Beijing,ISC,0.40658,0.01382,0.05319,0.09346282561665173,0.25697723295019864,0.08309261793167093,0.2988030365467176
Berlin,ISC,5e-5,0.49602,0.8591,0.38635176627208917,0.07379294761605279,0.005940108101126856,0.3848589828786162
Bern,ISC,0,0,0,0.5782858490273217,0.26433356067094427,0.18635106435142654,0.646659864801048
Bogota,ISC,0,0,3e-5,0.5554305373455449,0.08815291113649586,0.14619150029674335,0.5840804271411035
Boston,ISC,0,0,0,0.5414076056055147,0.1337345334363598,0.20127373345988625,0.5971453595252434
Brantford,ISC,0,0.04576,0.61222,0.6908336788042136,0.2108569230451319,0.017527718353323396,0.6963732114108057
Brighton,ISC,0,0,0.03456,0.7285192671443506,0.41927352033849763,0.05800868546966391,0.7652572330627755
Brussels,ISC,0,0.05185,0.00426,0.6935219397131585,0.39102032863106523,0.11246454320372887,0.7361805432021442
Buenos_Aires,ISC,0,2.9e-4,7e-5,0.6840437267864348,0.037841330507732376,0.12293776266516382,0.6883927656395321
Burlington,ISC,0,0,1e-5,0.5714312474819595,0.16717265741512374,0.12291852421036237,0.613101117954268
Calgary,ISC,1e-5,1.6e-4,5e-4,0.6026945842746955,0.13406603979518608,0.10851644358164739,0.6257550653655887
Cambridge,ISC,0,4.1e-4,0.00966,0.6367494710356975,0.06308623975946231,0.07354868840789139,0.6389279618431621
Canberra,ISC,0.91082,0.15218,0.8785,0.05376255156038254,0.1757391606776171,0.004491023161172212,0.17878653568324943
Cape_Town,ISC,0.0015,0.01638,0.1451,0.41729606979771483,0.11342033031160882,0.06985171361015134,0.42965060605861516
Charlotte,ISC,0,0.0148,0.03159,0.4845912149856559,0.01603118172225849,0.05628104411863436,0.4811600460000811
Charlottetown,ISC,0,0,0,0.5708500566189978,0.11565235371333059,0.2871471097707723,0.6358151852203393
Chicago,ISC,0,0.00533,0.2391,0.6037768776906807,0.1165650269621919,0.023601770511198536,0.6120175741246403
Christchurch,ISC,0,0.03528,0.08273,0.5523174079347746,0.015847152966697076,0.042332545691469534,0.5442719481282792
Cincinnati,ISC,0,1e-5,8e-4,0.5087860577912482,0.08598968958299608,0.10462775121049932,0.5342704069351877
Cleveland,ISC,0,0,0,0.5456574775605607,0.020568773045312398,0.23301105930839688,0.586975672791042
Cologne,ISC,1e-5,0.01222,0.01096,0.374105765808148,0.019245133137362706,0.10401079424719296,0.3831235976064731
Curitiba,ISC,0,0,1.4e-4,0.6588866648848701,0.1695850887418052,0.14559512506166508,0.6811252497727049
Denver,ISC,0,0.06246,0.89903,0.6111014990368229,0.08376767590816962,0.00363824708618892,0.6086627975640515
Detroit,ISC,0,0.00411,0.01029,0.7032894395112455,0.026012056934068915,0.08468878871173988,0.6976322380645192
Edmonton,ISC,0,0.85216,0.60599,0.6107110994044749,0.002085308837715561,0.01055666727030066,0.5969613874802845
Fairbanks,ISC,0,0.18051,0.05448,0.6557617790175886,0.09369073091668195,0.049712411390935594,0.6579228477858617
Fergus,ISC,0,0.0016,0.00452,0.5174244531561809,0.05367747634541944,0.16482058929922075,0.5283369656090924
Frankfurt,ISC,0,0.23178,0.00182,0.24994063637519628,0.08022136474389747,0.09310127105077515,0.31340799351821724
Fredericton,ISC,0,0.02879,0.02176,0.5066389784057891,0.039154010111897564,0.06253046676252658,0.5094652042461565
Freehold,ISC,0,1e-5,0,0.25958513638356673,0.061992537366608966,0.15352235158701646,0.35003653506486154
Ghent,ISC,0,0.00889,0.1709,0.6810921407335367,0.21452494553103202,0.03093702427326368,0.6965697239759726
Glasgow,ISC,0,0.02095,0.03804,0.6228372602255364,0.019524845604706353,0.05514169411066703,0.6163252557953549
Guelph,ISC,0,0.00719,0.20495,0.6944286854623982,0.14805183244481326,0.061270316620609444,0.6875442373366317
Halifax,ISC,3e-5,0.01066,0.01009,0.4523814011996639,0.0983478978779167,0.0743945697054723,0.48006666182136637
Halle,ISC,0,0.00109,1.8e-4,0.5927753819914064,0.005950768976279009,0.1246841357382827,0.5979460955487647
Helsinki,ISC,0,0.12172,0.20721,0.5262905451043514,0.01895725921499737,0.031261646302370036,0.5149567154370646
Hempstead,ISC,0,1e-5,0,0.2712839004998147,0.03996242218426362,0.22562884672560823,0.38584766501607615
Hiroshima,ISC,0,0,0,0.6593869821893683,0.11116989660159489,0.21958225881287388,0.6884871334430824
Houston,ISC,0,0,3.4e-4,0.747484945012199,0.10522757867635253,0.1071898671761397,0.7515509454625021
Indianapolis,ISC,0,2e-5,0.11283,0.5424276613943804,0.19579249807891433,0.03056271172523046,0.5787496564074142
Jacksonville,ISC,0,0.02376,0.05861,0.40913693570841464,0.03690509058931652,0.049645076726557234,0.4122564075969123
Kalamazoo,ISC,0,0.36582,0.12761,0.31615012456810043,0.051409871917673496,0.03760337602489688,0.3267471559335554
Kunming,ISC,0,0.10833,0.62755,0.5700735782363056,0.06949336931502291,0.009152616193291647,0.569676306772384
Kyoto,ISC,0,0,1e-5,0.46435418464190004,0.11699138757671858,0.144689951441189,0.5193020030049145
Lake_Charles,ISC,0,0,0,0.6312174054369752,0.23956876961698273,0.346506114478252,0.705559320615602
Landshut,ISC,0,0,0,0.6681954774726476,0.2328327179786361,0.22492683621432918,0.7124248478573149
Lansing,ISC,0,0.01057,0.0046,0.6809270372665944,0.0441804745208295,0.08232983102127561,0.6800147384320322
Lanzhou,ISC,0,8e-5,0.11214,0.5737629481005819,0.18197370363176682,0.03901415823431654,0.5988499466543491
Latacunga,ISC,0,0,0,0.5275794363295747,0.0517867036298691,0.18815672411261328,0.5643280044264405
Leuven,ISC,0,0.24228,0.5179,0.6233107876095436,0.06805944469719485,0.018678931093576986,0.6146993325421984
Linkoping,ISC,0,0,0,0.7088234202611939,0.07648538637540736,0.22468968633531097,0.7263134026828342
Lisbon,ISC,0,0.08523,0.16926,0.515067928291106,0.042430763075614476,0.026219639403139212,0.5138997544756678
Little_Rock,ISC,0,0.0531,0.02436,0.5890069536639082,0.017219168232073055,0.06954039129908554,0.5826995965990063
London,ISC,0,0,0,0.6998984322278053,0.3795640077267751,0.27242561814741617,0.7576265570852164
Los_Angeles,ISC,1.3e-4,0.40582,0.26661,0.35305571232232585,0.01127859788666699,0.02494134585336845,0.3398230464437908
Louisville,ISC,0,1e-5,4e-5,0.6467896859886373,0.03201510803852664,0.12418998863943498,0.6537987775028576
Madison,ISC,0,4e-5,4.8e-4,0.6323344683106742,0.07830929469841041,0.08798929043265738,0.6428263618730132
Manchester,ISC,0,1e-5,3e-5,0.5436209339452848,0.03183411059457654,0.1442633827965952,0.5625447493525629
Medellin,ISC,0,0,0.44937,0.5315124512864776,0.39131773673811104,0.017547712100347067,0.6254476138558775
Melbourne,ISC,0.00332,1.9e-4,0.00136,0.46454819186417634,0.04543831372959674,0.12350923132062107,0.4847896706877515
Memphis,ISC,0,0,0,0.39821199241791844,0.1848208430152154,0.15658664884156792,0.49981458896401587
Mexico_City,ISC,0.00395,0.19319,0.93834,0.24180519931098118,0.19012700430417737,0.0034184625489084844,0.3200089651503334
Minneapolis,ISC,0,2.6e-4,0.02329,0.5977559445528507,0.12316056994927178,0.05580976002558077,0.6118498546891318
Moncton,ISC,0,0,4.6e-4,0.5198067375954913,0.14346215233012616,0.11362018737076729,0.5596205318308842
Montreal,ISC,0,0,0.00352,0.5904381506433168,0.275897650736085,0.06955502104392325,0.6420131823413028
Morelia,ISC,0,0.00538,6e-5,0.7211202575509592,0.033113821222535124,0.1371361747763198,0.7230274340801164
Muenster,ISC,0,1e-5,2e-5,0.6970445936307312,0.02687092119116166,0.14473792416510367,0.7011827915164007
Munich,ISC,0,0.07301,0.18822,0.4836859690398046,0.1662544880904922,0.02455172117375436,0.5204650408628189
New_Haven,ISC,0,0.04197,0.04534,0.3396632175807334,0.03578348161950378,0.04972324138875168,0.34868682755724456
