Country,City,Rotated_Latitude,Rotated_Longitude
USA,Lansing,42.862931690011855,-84.49845193344247
USA,Lansing,42.86428180072509,-84.5065693373324
USA,Lansing,42.85776977886347,-84.50789304817467
USA,Lansing,42.854067714429654,-84.50796038715158
USA,Lansing,42.85014951768773,-84.50858968936164
USA,Lansing,42.84118605550418,-84.51018187135317
USA,Lansing,42.83649587298763,-84.51087335687104
USA,Lansing,42.83725588200509,-84.51925577087141
USA,Lansing,42.83099974719316,-84.51195308314256
USA,Lansing,42.8295683212261,-84.51828657953877
USA,Lansing,42.82796133704055,-84.5218644977376
USA,Lansing,42.82247201156173,-84.52139572077832
USA,Lansing,42.81961266762842,-84.52355348953355
USA,Lansing,42.816002544090004,-84.52359531593024
USA,Lansing,42.81316276009252,-84.52402973911974
USA,Lansing,42.81314118740136,-84.53008245845066
USA,Lansing,42.80494574939476,-84.5337900129398
USA,Lansing,42.80230944374103,-84.53427719798692
USA,Lansing,42.79537578492311,-84.53757972713238
USA,Lansing,42.79285211534255,-84.53758351502908
USA,Lansing,42.7868402976729,-84.53762360938022
USA,Lansing,42.78312865298322,-84.5399020011875
USA,Lansing,42.77992446781784,-84.5393967703136
USA,Lansing,42.77739590182002,-84.540148746706
USA,Lansing,42.77334542556825,-84.54231004815277
USA,Lansing,42.769617710185344,-84.54287210497735
USA,Lansing,42.7661337738318,-84.54622815055725
USA,Lansing,42.76289451460634,-84.54512707753959
USA,Lansing,42.76019186966299,-84.54797551832011
USA,Lansing,42.7545765793491,-84.54881174461768
USA,Lansing,42.75176957424486,-84.54932765783208
USA,Lansing,42.75033310616305,-84.55231539202705
USA,Lansing,42.749159806574845,-84.55560270458238
USA,Lansing,42.74535437872784,-84.55654777035325
USA,Lansing,42.7428859486567,-84.55726782370816
USA,Lansing,42.74012688804698,-84.55317354582284
USA,Lansing,42.73884664177754,-84.55558678592271
USA,Lansing,42.73568017688875,-84.55265991155098
USA,Lansing,42.734671624540645,-84.55578310620086
USA,Lansing,42.731946028151995,-84.5557795039573
