Country,City,Rotated_Latitude,Rotated_Longitude
Mexico,Morelia,19.702709038288607,-101.1955395895038
Mexico,Morelia,19.706642214573556,-101.19502008078254
Mexico,Morelia,19.7115043569823,-101.18676375204652
Mexico,Morelia,19.71268386865463,-101.18152087247374
Mexico,Morelia,19.70959433223644,-101.18180816626175
Mexico,Morelia,19.70347038590994,-101.18784778101687
Mexico,Morelia,19.691828814701324,-101.1837258429054
Mexico,Morelia,19.692504084188823,-101.1820196057826
Mexico,Morelia,19.69228678008522,-101.18499315096075
Mexico,Morelia,19.687341241176053,-101.18103192515326
Mexico,Morelia,19.687111904688813,-101.18915046675725
Mexico,Morelia,19.687934737116784,-101.19036901991386
Mexico,Morelia,19.686898640912442,-101.19137574214733
Mexico,Morelia,19.68468643543875,-101.19329799263625
Mexico,Morelia,19.650122464849545,-101.18475040478303
Mexico,Morelia,19.667471819594912,-101.19388332873538
Mexico,Morelia,19.667492921825893,-101.19392189939583
Mexico,Morelia,19.661909369682107,-101.19321437734136
Mexico,Morelia,19.65192591930657,-101.19036319660364
Mexico,Morelia,19.65275408412851,-101.19730354638068
Mexico,Morelia,19.652523565294008,-101.18825434851198
Mexico,Morelia,19.647104685539677,-101.18905626509626
Mexico,Morelia,19.639866267042393,-101.18329234458517
Mexico,Morelia,19.64034919969257,-101.18099007764681
Mexico,Morelia,19.639688261696108,-101.17940058622978
Mexico,Morelia,19.639299840801982,-101.18834828231364
Mexico,Morelia,19.638330835604464,-101.18934902150401
Mexico,Morelia,19.633889842658483,-101.18986503182734
Mexico,Morelia,19.627803073917693,-101.19308238404555
Mexico,Morelia,19.62858878618115,-101.19074080418592
Mexico,Morelia,19.628100569641653,-101.19605366260777
Mexico,Morelia,19.62427812585687,-101.202204946743
Mexico,Morelia,19.62594826464963,-101.19653797988117
Mexico,Morelia,19.621356824619397,-101.19527418581218
Mexico,Morelia,19.608164482276692,-101.20227688818434
Mexico,Morelia,19.605444647583877,-101.20586177831429
Mexico,Morelia,19.60218494203554,-101.20823366042309
Mexico,Morelia,19.674149908257874,-101.19182161735654
Mexico,Morelia,19.649962760325923,-101.18691757331942
Mexico,Morelia,19.697213700888565,-101.20024142444983
