Country,City,Rotated_Latitude,Rotated_Longitude
Colombia,Medellin,6.247233812495929,-75.55382664195602
Colombia,Medellin,6.246773242967927,-75.5510993950457
Colombia,Medellin,6.248967863244327,-75.55171878332652
Colombia,Medellin,6.255974354914792,-75.55275756842063
Colombia,Medellin,6.262737327734382,-75.55000944203317
Colombia,Medellin,6.27162492527329,-75.5418644675098
Colombia,Medellin,6.278011735543144,-75.54164388968489
Colombia,Medellin,6.282250100708352,-75.53905810919801
Colombia,Medellin,6.286471113544185,-75.53669526120466
Colombia,Medellin,6.288543974395148,-75.53542119374468
Colombia,Medellin,6.3002282281618935,-75.52592391971925
Colombia,Medellin,6.301249954046405,-75.5225943437377
Colombia,Medellin,6.302902831844514,-75.519224181281
Colombia,Medellin,6.306677686573527,-75.51337264543348
Colombia,Medellin,6.3076558850747,-75.50887340908801
Colombia,Medellin,6.31318861093745,-75.50867606540889
Colombia,Medellin,6.314470914882431,-75.50545648522001
Colombia,Medellin,6.316257022618964,-75.50267982910995
Colombia,Medellin,6.317275807595285,-75.4988117446781
Colombia,Medellin,6.3161464405867385,-75.49603244077963
Colombia,Medellin,6.31985835405419,-75.4990576181976
Colombia,Medellin,6.321754164463601,-75.49256640083168
Colombia,Medellin,6.322092681446381,-75.4899462088058
Colombia,Medellin,6.32683426416358,-75.48089538600698
Colombia,Medellin,6.325088156662622,-75.47739522763983
Colombia,Medellin,6.326379283332181,-75.47579117280188
Colombia,Medellin,6.323929673691919,-75.47268482243362
Colombia,Medellin,6.324757289925287,-75.46781501223504
Colombia,Medellin,6.325816661376751,-75.46457807971677
Colombia,Medellin,6.327854817568957,-75.46374987724384
Colombia,Medellin,6.330932345094835,-75.46282314949123
Colombia,Medellin,6.334565733400412,-75.46167054833693
Colombia,Medellin,6.3387811575396364,-75.46168466663832
Colombia,Medellin,6.3463432168700065,-75.45904359513533
Colombia,Medellin,6.349081934293322,-75.45728307621317
Colombia,Medellin,6.352324455508193,-75.45596548136987
Colombia,Medellin,6.350876571634658,-75.45266796225867
Colombia,Medellin,6.353916453593584,-75.45164859104278
Colombia,Medellin,6.3568433988516615,-75.45035128943707
Colombia,Medellin,6.3609658864078185,-75.44694907011001
