UID,Country,City,Mean_Annual_Temperature,Temperature_Seasonality,Range_Annual_Temperature,Annual_Precipitation,Precipitation_Seasonality
Beijing.1,China,Beijing,12.516666412353516,11.060501708984376,40.19999694824219,576,136.6917724609375
Beijing.2,China,Beijing,12.454166412353516,11.09742919921875,40.5,577,138.33126831054688
Beijing.3,China,Beijing,12.454166412353516,11.09742919921875,40.5,577,138.33126831054688
Beijing.4,China,Beijing,12.379166603088379,11.110242919921875,40.70000076293945,581,139.42344665527344
Beijing.5,China,Beijing,12.341667175292969,11.09663818359375,40.70000076293945,579,140.4345245361328
Beijing.6,China,Beijing,12.379166603088379,11.110242919921875,40.70000076293945,581,139.42344665527344
Beijing.7,China,Beijing,12.370833396911621,11.092718505859375,40.70000076293945,578,140.0689697265625
Beijing.8,China,Beijing,12.341667175292969,11.09663818359375,40.70000076293945,579,140.4345245361328
Beijing.9,China,Beijing,12.370833396911621,11.092718505859375,40.70000076293945,578,140.0689697265625
Beijing.10,China,Beijing,12.379166603088379,11.110242919921875,40.70000076293945,581,139.42344665527344
Beijing.11,China,Beijing,12.458333015441895,11.09307373046875,40.599998474121094,579,139.98544311523438
Beijing.12,China,Beijing,12.320833206176758,11.0975927734375,40.70000076293945,576,140.39759826660156
Beijing.13,China,Beijing,12.341667175292969,11.09663818359375,40.70000076293945,581,140.30711364746094
Beijing.14,China,Beijing,12.341667175292969,11.09663818359375,40.70000076293945,581,140.30711364746094
Beijing.15,China,Beijing,12.341667175292969,11.09663818359375,40.70000076293945,580,140.5172119140625
Beijing.16,China,Beijing,12.345833778381348,11.10234375,40.80000305175781,583,139.73497009277344
Beijing.17,China,Beijing,12.333333015441895,11.096259765625,40.70000076293945,575,144.01475524902344
Beijing.18,China,Beijing,12.3125,11.145445556640626,40.79999923706055,581,145.90525817871094
Beijing.19,China,Beijing,12.3125,11.103359375,40.70000076293945,582,144.45761108398438
Beijing.20,China,Beijing,12.304166793823242,11.105904541015626,40.70000076293945,583,144.34286499023438
Beijing.21,China,Beijing,12.350000381469727,11.09572021484375,40.70000076293945,580,140.10723876953125
Beijing.22,China,Beijing,12.350000381469727,11.09572021484375,40.70000076293945,580,140.10723876953125
Beijing.23,China,Beijing,12.341667175292969,11.09663818359375,40.70000076293945,581,140.30711364746094
Beijing.24,China,Beijing,12.429166793823242,11.10791015625,40.599998474121094,574,140.556640625
