UID,Country,City,Distance
Bern.1,Switzerland,Bern,8.784191819535781
Bern.2,Switzerland,Bern,8.41784578011662
Bern.3,Switzerland,Bern,8.302866095604337
Bern.4,Switzerland,Bern,8.154616868588407
Bern.5,Switzerland,Bern,7.8601836649371934
Bern.6,Switzerland,Bern,7.681934009845471
Bern.7,Switzerland,Bern,7.418472232713238
Bern.8,Switzerland,Bern,7.179761989897185
Bern.9,Switzerland,Bern,6.874742153889956
Bern.10,Switzerland,Bern,6.625464370838705
Bern.11,Switzerland,Bern,6.3218525822559295
Bern.12,Switzerland,Bern,5.919531156174058
Bern.13,Switzerland,Bern,5.880587036065426
Bern.14,Switzerland,Bern,5.5782244412949265
Bern.15,Switzerland,Bern,5.430285014852273
Bern.16,Switzerland,Bern,5.255087944104155
Bern.17,Switzerland,Bern,4.9413775011985965
Bern.18,Switzerland,Bern,4.622822131866212
Bern.19,Switzerland,Bern,4.37188435585454
Bern.20,Switzerland,Bern,4.2007197103753215
Bern.21,Switzerland,Bern,4.06521661065339
Bern.22,Switzerland,Bern,3.842652037442716
Bern.23,Switzerland,Bern,3.6624555057899837
Bern.24,Switzerland,Bern,3.4690478191309913
Bern.25,Switzerland,Bern,3.3063917276606616
Bern.26,Switzerland,Bern,2.9574878604569865
Bern.27,Switzerland,Bern,2.645245987947293
Bern.28,Switzerland,Bern,2.3687179714045192
Bern.29,Switzerland,Bern,2.14866077823306
Bern.30,Switzerland,Bern,1.7783728240533851
Bern.31,Switzerland,Bern,1.3590388188437528
Bern.32,Switzerland,Bern,1.2753923808558383
Bern.33,Switzerland,Bern,0.9806978937396408
Bern.34,Switzerland,Bern,0.8603245123656699
Bern.35,Switzerland,Bern,0.563537512999719
Bern.36,Switzerland,Bern,0.2587556325224578
Bern.37,Switzerland,Bern,0.058668849972443794
Bern.38,Switzerland,Bern,0.34525412317256565
Bern.39,Switzerland,Bern,0.7373507528558138
Bern.40,Switzerland,Bern,0.8987274541881177
