UID,Country,City,Distance
Little_Rock.1,USA,Little_Rock,1.3581091426099012
Little_Rock.2,USA,Little_Rock,1.3401049680844017
Little_Rock.3,USA,Little_Rock,1.3723899239299757
Little_Rock.4,USA,Little_Rock,1.4861390007128548
Little_Rock.5,USA,Little_Rock,1.3591231599598343
Little_Rock.6,USA,Little_Rock,1.3212938278767221
Little_Rock.7,USA,Little_Rock,1.0828753324238336
Little_Rock.8,USA,Little_Rock,1.2867494187507644
Little_Rock.9,USA,Little_Rock,1.3337656197653753
Little_Rock.10,USA,Little_Rock,1.1833666526284716
Little_Rock.11,USA,Little_Rock,1.550022880083681
Little_Rock.12,USA,Little_Rock,1.77621597729094
Little_Rock.13,USA,Little_Rock,1.659233306668992
Little_Rock.14,USA,Little_Rock,1.7689507016646504
Little_Rock.15,USA,Little_Rock,2.3343650318158056
Little_Rock.16,USA,Little_Rock,2.360952880154084
Little_Rock.17,USA,Little_Rock,2.644795578892302
Little_Rock.18,USA,Little_Rock,2.519273008699726
Little_Rock.19,USA,Little_Rock,2.8890345278081266
Little_Rock.20,USA,Little_Rock,3.051842646938906
Little_Rock.21,USA,Little_Rock,3.1057466880727307
Little_Rock.22,USA,Little_Rock,4.208034950179795
Little_Rock.23,USA,Little_Rock,3.6230451839540594
Little_Rock.24,USA,Little_Rock,5.056030795872165
Little_Rock.25,USA,Little_Rock,6.972671245582591
Little_Rock.26,USA,Little_Rock,7.237079952958864
Little_Rock.27,USA,Little_Rock,8.077186307477195
Little_Rock.28,USA,Little_Rock,8.22827775414547
Little_Rock.29,USA,Little_Rock,8.68620144537254
Little_Rock.30,USA,Little_Rock,10.107039368074087
Little_Rock.31,USA,Little_Rock,11.585185537781255
Little_Rock.32,USA,Little_Rock,12.116432047711752
Little_Rock.33,USA,Little_Rock,13.06982848015763
Little_Rock.34,USA,Little_Rock,13.633742934182937
Little_Rock.35,USA,Little_Rock,15.222933772750398
