Continent,Country,City,City_Latitude,City_Longitude,Population,Population_Latitude,Population_Longitude,Distance,Maximum_Distance,Standardized_Distance
North America,Canada,Georgetown,43.651146,-79.898875,1,43.657085,-79.90853100000002,1.0196051071472472,7.464272385269982,0.1366
North America,Canada,Georgetown,43.651146,-79.898875,2,43.654465,-79.911477,1.078955792345205,7.464272385269982,0.1445
North America,Canada,Georgetown,43.651146,-79.898875,3,43.65235,-79.913444,1.1797689259059336,7.464272385269982,0.1581
North America,Canada,Georgetown,43.651146,-79.898875,4,43.649613,-79.916628,1.4384848671663586,7.464272385269982,0.1927
North America,Canada,Georgetown,43.651146,-79.898875,5,43.648027,-79.919063,1.660896448823542,7.464272385269982,0.2225
North America,Canada,Georgetown,43.651146,-79.898875,6,43.645383,-79.920023,1.8182276226337697,7.464272385269982,0.2436
North America,Canada,Georgetown,43.651146,-79.898875,7,43.64376,-79.923788,2.166241056655315,7.464272385269982,0.2902
North America,Canada,Georgetown,43.651146,-79.898875,8,43.640782,-79.927089,2.5459327601214947,7.464272385269982,0.3411
North America,Canada,Georgetown,43.651146,-79.898875,9,43.638368,-79.929893,2.8719398397476903,7.464272385269982,0.3848
North America,Canada,Georgetown,43.651146,-79.898875,10,43.636833,-79.935863,3.3750633753765933,7.464272385269982,0.4522
North America,Canada,Georgetown,43.651146,-79.898875,11,43.632858,-79.936815,3.668214213203636,7.464272385269982,0.4914
North America,Canada,Georgetown,43.651146,-79.898875,12,43.63049,-79.939133,3.971162798777384,7.464272385269982,0.532
North America,Canada,Georgetown,43.651146,-79.898875,13,43.628292,-79.940997,4.23643085827189,7.464272385269982,0.5676
North America,Canada,Georgetown,43.651146,-79.898875,14,43.624197,-79.944891,4.7636522216044535,7.464272385269982,0.6382
North America,Canada,Georgetown,43.651146,-79.898875,15,43.621597,-79.948208,5.153397813881271,7.464272385269982,0.6904
North America,Canada,Georgetown,43.651146,-79.898875,16,43.618242,-79.952056,5.630626887986543,7.464272385269982,0.7543
North America,Canada,Georgetown,43.651146,-79.898875,17,43.615795,-79.955099,5.993837668812714,7.464272385269982,0.803
North America,Canada,Georgetown,43.651146,-79.898875,18,43.613425,-79.957712,6.325784762280624,7.464272385269982,0.8475
North America,Canada,Georgetown,43.651146,-79.898875,19,43.610204,-79.96859599999998,7.2258618746156,7.464272385269982,0.9681
North America,Canada,Georgetown,43.651146,-79.898875,20,43.618402,-79.979842,7.464272385269982,7.464272385269982,1
