Continent,Country,City,City_Latitude,City_Longitude,Population,Population_Latitude,Population_Longitude,Distance,Maximum_Distance,Standardized_Distance
South America,Ecuador,Loja,-3.997781,-79.202452,1,-4.0654,-79.1974,7.5397,7.5397,1
South America,Ecuador,Loja,-3.997781,-79.202452,2,-4.0637,-79.1975,7.3504,7.5397,0.9749
South America,Ecuador,Loja,-3.997781,-79.202452,3,-4.062,-79.1971,7.1655,7.5397,0.9504
South America,Ecuador,Loja,-3.997781,-79.202452,4,-4.0606,-79.197,7.0113,7.5397,0.9299
South America,Ecuador,Loja,-3.997781,-79.202452,5,-4.0594,-79.1967,6.8814,7.5397,0.9127
South America,Ecuador,Loja,-3.997781,-79.202452,6,-4.0569,-79.1974,6.5976,7.5397,0.875
South America,Ecuador,Loja,-3.997781,-79.202452,7,-4.0555,-79.19800000000001,6.437,7.5397,0.8537
South America,Ecuador,Loja,-3.997781,-79.202452,8,-4.0538,-79.1989,6.2415,7.5397,0.8278
South America,Ecuador,Loja,-3.997781,-79.202452,9,-4.052,-79.1983,6.0464,7.5397,0.8019
South America,Ecuador,Loja,-3.997781,-79.202452,10,-4.0499,-79.1978,5.8183,7.5397,0.7717
South America,Ecuador,Loja,-3.997781,-79.202452,11,-4.0481,-79.1979,5.618,7.5397,0.7451
South America,Ecuador,Loja,-3.997781,-79.202452,12,-4.0463,-79.1978,5.4197,7.5397,0.7188
South America,Ecuador,Loja,-3.997781,-79.202452,13,-4.0442,-79.1983,5.1821,7.5397,0.6873
South America,Ecuador,Loja,-3.997781,-79.202452,14,-4.0424,-79.1998,4.9701,7.5397,0.6592
South America,Ecuador,Loja,-3.997781,-79.202452,15,-4.0407,-79.1996,4.7828,7.5397,0.6343
South America,Ecuador,Loja,-3.997781,-79.202452,16,-4.0391,-79.2011,4.5969,7.5397,0.6097
South America,Ecuador,Loja,-3.997781,-79.202452,17,-4.037,-79.2007,4.3653,7.5397,0.579
South America,Ecuador,Loja,-3.997781,-79.202452,18,-4.0354,-79.2003,4.1898,7.5397,0.5557
South America,Ecuador,Loja,-3.997781,-79.202452,19,-4.0336,-79.1987,4.0046,7.5397,0.5311
South America,Ecuador,Loja,-3.997781,-79.202452,20,-4.0319,-79.1989,3.8143,7.5397,0.5059
South America,Ecuador,Loja,-3.997781,-79.202452,21,-4.0295,-79.1988,3.5502,7.5397,0.4709
South America,Ecuador,Loja,-3.997781,-79.202452,22,-4.0263,-79.199,3.1942,7.5397,0.4237
South America,Ecuador,Loja,-3.997781,-79.202452,23,-4.0246,-79.1992,3.0039,7.5397,0.3984
South America,Ecuador,Loja,-3.997781,-79.202452,24,-4.0227,-79.1998,2.7864,7.5397,0.3696
South America,Ecuador,Loja,-3.997781,-79.202452,25,-4.0207,-79.1999,2.5641,7.5397,0.3401
South America,Ecuador,Loja,-3.997781,-79.202452,26,-4.0188,-79.2001,2.3517,7.5397,0.3119
South America,Ecuador,Loja,-3.997781,-79.202452,27,-4.0169,-79.2002,2.1406,7.5397,0.2839
South America,Ecuador,Loja,-3.997781,-79.202452,28,-4.0152,-79.2004,1.9502,7.5397,0.2587
South America,Ecuador,Loja,-3.997781,-79.202452,29,-4.0137,-79.2,1.7909,7.5397,0.2375
South America,Ecuador,Loja,-3.997781,-79.202452,30,-4.0114,-79.2003,1.5331,7.5397,0.2033
South America,Ecuador,Loja,-3.997781,-79.202452,31,-4.0091,-79.2002,1.2832,7.5397,0.1702
South America,Ecuador,Loja,-3.997781,-79.202452,32,-4.0074,-79.1999,1.1064,7.5397,0.1467
South America,Ecuador,Loja,-3.997781,-79.202452,33,-4.0055,-79.2004,0.888,7.5397,0.1178
South America,Ecuador,Loja,-3.997781,-79.202452,34,-4.0044,-79.2006,0.7641,7.5397,0.1013
South America,Ecuador,Loja,-3.997781,-79.202452,35,-4.0016,-79.20100000000001,0.4542,7.5397,0.0602
South America,Ecuador,Loja,-3.997781,-79.202452,36,-3.9995,-79.2009,0.2572,7.5397,0.0341
South America,Ecuador,Loja,-3.997781,-79.202452,37,-3.9984,-79.2018,0.0998,7.5397,0.0132
South America,Ecuador,Loja,-3.997781,-79.202452,38,-3.9967,-79.2017,0.1463,7.5397,0.0194
South America,Ecuador,Loja,-3.997781,-79.202452,39,-3.995,-79.2021,0.3117,7.5397,0.0413
South America,Ecuador,Loja,-3.997781,-79.202452,40,-3.9948,-79.2046,0.4082,7.5397,0.0541
