Continent,Country,City,Transect_Length
North America,Canada,Acton,4.94
North America,USA,Albuquerque,17.27
Europe,Portugal,Almada,16.48
Europe,Netherlands,Amsterdam,9.74
North America,USA,Anchorage,15.2
North America,Canada,Angus,3.98
Europe,Belgium,Antwerp,13.65
Oceania,Australia,Armidale,13.34
North America,USA,Athens,17.16
North America,USA,Atlanta,33.71
North America,USA,Atlantic_City,37.22
North America,USA,Baltimore,51.35
North America,Canada,Barrie,8.1
North America,USA,Baton_Rouge,26.61
Asia,China,Beijing,16.42
Europe,Germany,Berlin,21.41
Europe,Switzerland,Bern,8.7
South America,Colombia,Bogota,24.72
North America,USA,Boston,43.28
North America,Canada,Bradford,6.31
North America,Canada,Brantford,8.15
Europe,UK,Brighton,8.84
Europe,Belgium,Brussels,14.02
South America,Argentina,Buenos_Aires,73.44
North America,USA,Burlington,18.74
North America,Canada,Calgary,34.29
Europe,UK,Cambridge,8.82
Oceania,Australia,Canberra,9.94
Africa,South Africa,Cape_Town,38.74
North America,USA,Charlotte,39.81
North America,Canada,Charlottetown,14.31
North America,USA,Chicago,61.59
Oceania,New Zealand,Christchurch,27.01
North America,USA,Cincinnati,50.81
North America,USA,Cleveland,44.59
North America,Canada,Cobourg,6.17
Europe,Germany,Cologne,20.87
South America,Brazil,Curitiba,36.6
North America,USA,Denver,57.5
North America,USA,Detroit,59.86
North America,Canada,Edmonton,22.68
North America,Canada,Elmira,2.61
North America,Canada,Everett,3.77
North America,USA,Fairbanks,8.68
North America,Canada,Fergus,7.94
North America,USA,Fort_Collins,4.9
Europe,Germany,Frankfurt,16.79
North America,Canada,Fredericton,11.71
North America,USA,Freehold,15.63
North America,Canada,Georgetown,6.44
Europe,Belgium,Ghent,9.3
Europe,UK,Glasgow,24.65
North America,Canada,Guelph,8.44
North America,Canada,Halifax,23.29
Europe,Germany,Halle,10.04
Europe,Finland,Helsinki,23.94
North America,USA,Hempstead,12.75
Asia,Japan,Hiroshima,36.11
North America,USA,Houston,71.15
North America,USA,Indianapolis,24.37
North America,USA,Jacksonville,40.31
North America,USA,Kalamazoo,8.27
North America,Canada,Kingston,7.03
Asia,China,Kunming,18.74
Asia,Japan,Kyoto,23.16
North America,USA,La_Verne,5.84
North America,USA,Lake_Charles,28.79
Europe,Germany,Landshut,9.36
North America,USA,Lansing,15.37
Asia,China,Lanzhou,32.81
South America,Ecuador,Latacunga,27.32
Europe,Netherlands,Leiden,6.8
Europe,Belgium,Leuven,8.64
Europe,Sweden,Linkoping,11.43
Europe,Portugal,Lisbon,22.89
North America,USA,Little_Rock,14.17
South America,Ecuador,Loja,7.44
North America,Canada,London,16.55
North America,USA,Los_Angeles,41.13
North America,USA,Louisville,40.07
North America,USA,Madison,15.41
Europe,UK,Manchester,32.44
South America,Colombia,Medellin,16.7
Oceania,Australia,Melbourne,52.44
North America,USA,Memphis,18.2
North America,Mexico,Mexico_City,28.33
North America,USA,Minneapolis,51
North America,Canada,Moncton,8.99
North America,Canada,Montreal,39.17
North America,Mexico,Morelia,10.81
Europe,Germany,Muenster,9.87
Europe,Germany,Munich,19.65
North America,USA,New_Haven,17.5
North America,Canada,New_Tecumseth,4.94
North America,USA,New_York,46.52
Oceania,Australia,Newcastle,21.5
North America,USA,Norfolk,35.52
Europe,Sweden,Norrtalje,6.49
North America,Canada,North_Bay,17.43
North America,Canada,Orangeville,6.38
North America,Canada,Ottawa,14.25
Oceania,New Zealand,Palmerston_North,7.61
Europe,France,Paris,32.84
Oceania,Australia,Sydney,28.63
North America,USA,Philadelphia,52.9
North America,USA,Pittsburgh,50.69
North America,Canada,Port_Hope,4.6
North America,USA,Portland_ME,12.91
North America,USA,Portland_OR,45.91
North America,USA,Providence,17.31
South America,Chile,Punta_Arenas,23.27
North America,Canada,Quebec_City,23.19
South America,Ecuador,Quito,23.06
North America,USA,Raleigh,28.64
South America,Chile,Rancagua,16.87
Europe,UK,Reading,9.05
Europe,France,Rennes,11.95
Europe,Germany,Reutlingen,9.3
North America,USA,Rochester,23.11
North America,USA,Rockford,20.35
North America,USA,Sacramento,14.32
North America,Canada,St_Thomas,3.82
North America,USA,Salem,22.54
South America,Brazil,Santa_Maria,9.79
South America,Chile,Santiago,47.55
Asia,Japan,Sapporo,20.99
North America,USA,Seattle,52.17
Asia,China,Shanghai,32.46
North America,USA,Sioux_Falls,12.87
North America,Canada,St_Albert,6.52
North America,USA,St_Louis,36.97
North America,USA,Starkville,5.24
Europe,Sweden,Stockholm,10.79
North America,Canada,Stouffville,5.35
North America,Canada,Stratford,4.86
Europe,Germany,Stuttgart,12.31
North America,Canada,Sudbury,9.21
North America,USA,Tacoma,11.82
South America,Chile,Talca,13.42
North America,USA,Tampa,45.4
Asia,Iran,Tehran,45.97
South America,Chile,Temuco,19.56
Europe,Greece,Thessaloniki,14.38
Asia,Japan,Tokyo,65.72
North America,Mexico,Toluca,27.67
North America,Canada,Toronto,45.81
Europe,Norway,Trondheim,8.31
Europe,Sweden,Uppsala,6.88
North America,Mexico,Uruapan,6.29
North America,Canada,Vancouver,45.99
North America,Canada,Victoria,14.27
Europe,Poland,Warsaw,26.59
North America,USA,Washington,47.64
North America,Canada,Waterloo,8.27
North America,Canada,Winnipeg,29.65
Oceania,Australia,Wollongong,16.48
North America,Canada,Woodstock,NA
Asia,China,Wuhan,17.51
North America,Mexico,Xalapa,5.62
Europe,Switzerland,Zurich,19.34
