Country,City,GLUE_Transect_N,Random_Points_N,Systematic_Points_N,Random_Transect_N,RT_Minus_GLUE,Adjusted_Random_Points,Adjusted_Systematic_Points,Random_Transect_Percent_Deficit
USA,Albuquerque,40,40,38,40,0,0,0.05,0
Portugal,Almada,44,38,42,44,0,0.136,0.045,0
Netherlands,Amsterdam,40,37,44,40,0,0.075,-0.1,0
USA,Anchorage,44,39,41,44,0,0.114,0.068,0
Belgium,Antwerp,40,36,46,36,-4,0.1,-0.15,-10
Australia,Armidale,40,40,40,40,0,0,0,0
USA,Athens,28,28,26,28,0,0,0.071,0
USA,Atlanta,45,45,42,45,0,0,0.067,0
USA,Atlantic_City,45,34,44,45,0,0.244,0.022,0
USA,Baltimore,39,32,44,39,0,0.179,-0.128,0
Canada,Barrie,25,24,26,23,-2,0.04,-0.04,-8
USA,Baton_Rouge,45,46,41,45,0,-0.022,0.089,0
China,Beijing,24,24,24,24,0,0,0,0
Germany,Berlin,34,34,33,34,0,0,0.029,0
Switzerland,Bern,40,40,41,40,0,0,-0.025,0
Colombia,Bogota,40,40,37,40,0,0,0.075,0
USA,Boston,44,46,40,44,0,-0.045,0.091,0
Canada,Brantford,27,27,29,27,0,0,-0.074,0
UK,Brighton,40,39,35,38,-2,0.025,0.125,-5
Belgium,Brussels,30,30,28,30,0,0,0.067,0
Argentina,Buenos_Aires,45,50,49,44,-1,-0.111,-0.089,-2.222
USA,Burlington,50,59,51,50,0,-0.18,-0.02,0
Canada,Calgary,40,40,42,40,0,0,-0.05,0
UK,Cambridge,40,40,37,40,0,0,0.075,0
Australia,Canberra,40,40,38,40,0,0,0.05,0
South Africa,Cape_Town,20,23,20,19,-1,-0.15,0,-5
USA,Charlotte,40,40,41,39,-1,0,-0.025,-2.5
Canada,Charlottetown,45,40,41,45,0,0.111,0.089,0
USA,Chicago,45,54,43,42,-3,-0.2,0.044,-6.667
New Zealand,Christchurch,39,46,39,39,0,-0.179,0,0
USA,Cincinnati,40,40,40,39,-1,0,0,-2.5
USA,Cleveland,40,47,43,40,0,-0.175,-0.075,0
Germany,Cologne,28,28,26,27,-1,0,0.071,-3.571
Brazil,Curitiba,35,35,32,35,0,0,0.086,0
USA,Denver,43,43,40,43,0,0,0.07,0
USA,Detroit,40,33,44,40,0,0.175,-0.1,0
Canada,Edmonton,44,44,49,44,0,0,-0.114,0
USA,Fairbanks,40,40,37,40,0,0,0.075,0
Canada,Fergus,20,20,20,20,0,0,0,0
Germany,Frankfurt,41,41,40,39,-2,0,0.024,-4.878
Canada,Fredericton,40,41,38,38,-2,-0.025,0.05,-5
USA,Freehold,47,47,48,47,0,0,-0.021,0
Belgium,Ghent,40,40,47,40,0,0,-0.175,0
UK,Glasgow,40,39,37,40,0,0.025,0.075,0
Canada,Guelph,20,20,20,20,0,0,0,0
Canada,Halifax,40,34,43,37,-3,0.15,-0.075,-7.5
Germany,Halle,40,40,37,40,0,0,0.075,0
Finland,Helsinki,40,41,36,37,-3,-0.025,0.1,-7.5
USA,Hempstead,39,39,39,39,0,0,0,0
Japan,Hiroshima,45,46,42,45,0,-0.022,0.067,0
USA,Houston,43,38,47,43,0,0.116,-0.093,0
USA,Indianapolis,50,50,51,49,-1,0,-0.02,-2
USA,Jacksonville,35,39,45,35,0,-0.114,-0.286,0
USA,Kalamazoo,40,40,36,40,0,0,0.1,0
China,Kunming,50,50,47,50,0,0,0.06,0
Japan,Kyoto,44,44,41,44,0,0,0.068,0
USA,Lake_Charles,40,39,39,38,-2,0.025,0.025,-5
Germany,Landshut,50,50,45,50,0,0,0.1,0
USA,Lansing,40,40,39,40,0,0,0.025,0
China,Lanzhou,38,38,44,38,0,0,-0.158,0
Ecuador,Latacunga,40,40,37,40,0,0,0.075,0
Belgium,Leuven,32,32,32,32,0,0,0,0
Sweden,Linkoping,44,45,42,44,0,-0.023,0.045,0
Portugal,Lisbon,47,52,51,47,0,-0.106,-0.085,0
USA,Little_Rock,35,34,34,35,0,0.029,0.029,0
Canada,London,40,40,38,40,0,0,0.05,0
USA,Los_Angeles,42,42,38,42,0,0,0.095,0
USA,Louisville,46,46,42,46,0,0,0.087,0
USA,Madison,50,50,51,50,0,0,-0.02,0
UK,Manchester,40,40,38,40,0,0,0.05,0
Colombia,Medellin,40,40,37,40,0,0,0.075,0
Australia,Melbourne,31,34,32,29,-2,-0.097,-0.032,-6.452
USA,Memphis,50,46,49,50,0,0.08,0.02,0
Mexico,Mexico_City,33,33,31,30,-3,0,0.061,-9.091
USA,Minneapolis,44,43,43,43,-1,0.023,0.023,-2.273
Canada,Moncton,40,37,39,40,0,0.075,0.025,0
Canada,Montreal,49,52,47,48,-1,-0.061,0.041,-2.041
Mexico,Morelia,40,40,38,40,0,0,0.05,0
Germany,Muenster,40,40,43,40,0,0,-0.075,0
Germany,Munich,51,51,47,51,0,0,0.078,0
USA,New_Haven,40,45,40,40,0,-0.125,0,0
USA,New_York,48,45,52,47,-1,0.062,-0.083,-2.083
Australia,Newcastle,45,39,36,44,-1,0.133,0.2,-2.222
USA,Norfolk,40,51,41,39,-1,-0.275,-0.025,-2.5
Canada,North_Bay,45,36,45,41,-4,0.2,0,-8.889
Canada,Orangeville,30,30,30,29,-1,0,0,-3.333
Canada,Ottawa,40,43,36,40,0,-0.075,0.1,0
New Zealand,Palmerston_North,40,40,37,40,0,0,0.075,0
France,Paris,49,49,54,49,0,0,-0.102,0
USA,Philadelphia,40,39,36,40,0,0.025,0.1,0
USA,Pittsburgh,40,40,38,40,0,0,0.05,0
USA,Portland_ME,40,38,34,38,-2,0.05,0.15,-5
USA,Portland_OR,40,39,37,38,-2,0.025,0.075,-5
USA,Providence,43,42,39,42,-1,0.023,0.093,-2.326
Chile,Punta_Arenas,42,42,38,39,-3,0,0.095,-7.143
Canada,Quebec_City,42,41,38,39,-3,0.024,0.095,-7.143
Ecuador,Quito,41,41,39,41,0,0,0.049,0
USA,Raleigh,40,40,39,38,-2,0,0.025,-5
Chile,Rancagua,39,39,37,39,0,0,0.051,0
UK,Reading,43,43,48,43,0,0,-0.116,0
France,Rennes,42,42,38,42,0,0,0.095,0
Germany,Reutlingen,40,40,40,40,0,0,0,0
USA,Rochester,41,32,37,41,0,0.22,0.098,0
USA,Rockford,40,40,40,40,0,0,0,0
USA,Sacramento,41,41,44,41,0,0,-0.073,0
USA,Salem,40,40,38,40,0,0,0.05,0
Brazil,Santa_Maria,16,16,16,16,0,0,0,0
Chile,Santiago,44,44,42,44,0,0,0.045,0
Japan,Sapporo,44,41,42,44,0,0.068,0.045,0
USA,Seattle,40,47,44,39,-1,-0.175,-0.1,-2.5
China,Shanghai,41,43,37,41,0,-0.049,0.098,0
USA,Sioux_Falls,38,38,36,38,0,0,0.053,0
USA,St_Louis,40,38,36,38,-2,0.05,0.1,-5
Sweden,Stockholm,45,45,42,41,-4,0,0.067,-8.889
Germany,Stuttgart,50,50,45,50,0,0,0.1,0
Canada,Sudbury,20,20,20,19,-1,0,0,-5
Australia,Sydney,40,38,36,40,0,0.05,0.1,0
USA,Tacoma,40,40,36,40,0,0,0.1,0
Chile,Talca,40,40,39,40,0,0,0.025,0
USA,Tampa,15,13,15,15,0,0.133,0,0
Iran,Tehran,40,40,42,40,0,0,-0.05,0
Chile,Temuco,50,50,51,50,0,0,-0.02,0
Greece,Thessaloniki,44,44,44,44,0,0,0,0
Japan,Tokyo,50,64,47,50,0,-0.28,0.06,0
Mexico,Toluca,22,21,21,22,0,0.045,0.045,0
Canada,Toronto,43,45,37,43,0,-0.047,0.14,0
Norway,Trondheim,41,37,41,40,-1,0.098,0,-2.439
Canada,Vancouver,40,31,45,38,-2,0.225,-0.125,-5
Canada,Victoria,40,37,30,40,0,0.075,0.25,0
Poland,Warsaw,50,51,47,50,0,-0.02,0.06,0
USA,Washington,45,45,43,44,-1,0,0.044,-2.222
Canada,Waterloo,30,30,30,30,0,0,0,0
Canada,Winnipeg,43,43,44,43,0,0,-0.023,0
Australia,Wollongong,40,35,35,40,0,0.125,0.125,0
China,Wuhan,41,41,39,41,0,0,0.049,0
Switzerland,Zurich,40,40,39,40,0,0,0.025,0
