Country,City,GLUE_Transect_N,Random_Points_N,Systematic_Points_N,Random_Transect_N,RT_Minus_GLUE,Adjusted_Random_Points,Adjusted_Systematic_Points,Random_Transect_Percent_Deficit
USA,Albuquerque,40,40,38,40,0,0,0.225,0
Portugal,Almada,44,39,34,44,0,0.546,0.931,0
Netherlands,Amsterdam,40,36,33,40,0,0,0.625,0
USA,Anchorage,44,40,41,44,0,0.273,0.5,0
Belgium,Antwerp,40,44,34,36,-4,0,0.5,-10
Australia,Armidale,40,40,40,40,0,0,0.225,0
USA,Athens,28,28,26,28,0,0,0.143,0
USA,Atlanta,45,45,42,45,0,0,0.2,0
USA,Atlantic_City,45,24,22,45,0,1.423,1.666,0
USA,Baltimore,39,41,33,39,0,0.077,0.667,0
Canada,Barrie,25,25,22,23,-2,0.12,0.44,-8
USA,Baton_Rouge,45,45,41,45,0,0.044,0.222,0
China,Beijing,24,24,24,24,0,0,0.208,0
Germany,Berlin,34,33,33,34,0,0,0.265,0
Switzerland,Bern,40,40,41,40,0,0,0.25,0
Colombia,Bogota,40,40,37,40,0,0,0.2,0
USA,Boston,44,44,40,44,0,0.295,0.432,0
Canada,Brantford,27,27,29,27,0,0,0.259,0
UK,Brighton,40,34,27,38,-2,0.75,1.225,-5
Belgium,Brussels,30,30,28,30,0,0,0.2,0
Argentina,Buenos_Aires,45,39,36,44,-1,0.51,0.822,-2.222
USA,Burlington,50,41,39,50,0,0.64,0.94,0
Canada,Calgary,40,40,42,40,0,0,0.25,0
UK,Cambridge,40,40,37,40,0,0,0.2,0
Australia,Canberra,40,41,38,40,0,0,0.225,0
South Africa,Cape_Town,20,11,10,19,-1,1.4,1.6,-5
USA,Charlotte,40,37,41,39,-1,0,0.3,-2.5
Canada,Charlottetown,45,41,40,45,0,0.267,0.666,0
USA,Chicago,45,32,35,42,-3,1,0.977,-6.667
New Zealand,Christchurch,39,33,33,39,0,0.59,0.77,0
USA,Cincinnati,40,40,40,39,-1,0,0.275,-2.5
USA,Cleveland,40,34,28,40,0,0.7,1.1,0
Germany,Cologne,28,27,26,27,-1,0,0.179,-3.571
Brazil,Curitiba,35,35,32,35,0,0,0.171,0
USA,Denver,43,43,40,43,0,0,0.163,0
USA,Detroit,40,36,32,40,0,0.15,0.825,0
Canada,Edmonton,44,44,39,44,0,0,0.433,0
USA,Fairbanks,40,41,37,40,0,0.025,0.3,0
Canada,Fergus,20,20,20,20,0,0,0.2,0
Germany,Frankfurt,41,41,40,39,-2,0,0.22,-4.878
Canada,Fredericton,40,40,38,38,-2,0.05,0.225,-5
USA,Freehold,47,47,48,47,0,0,0.234,0
Belgium,Ghent,40,40,34,40,0,0,0.475,0
UK,Glasgow,40,40,37,40,0,0,0.225,0
Canada,Guelph,20,20,20,20,0,0,0.2,0
Canada,Halifax,40,36,33,37,-3,0.325,0.775,-7.5
Germany,Halle,40,40,37,40,0,0,0.2,0
Finland,Helsinki,40,27,28,37,-3,1.1,1.225,-7.5
USA,Hempstead,39,39,39,39,0,0.051,0.282,0
Japan,Hiroshima,45,45,42,45,0,0.156,0.4,0
USA,Houston,43,42,38,43,0,0.07,0.488,0
USA,Indianapolis,50,50,51,49,-1,0,0.24,-2
USA,Jacksonville,35,28,25,35,0,0.457,0.943,0
USA,Kalamazoo,40,40,36,40,0,0,0.225,0
China,Kunming,50,47,47,50,0,0.04,0.32,0
Japan,Kyoto,44,43,41,44,0,0,0.25,0
USA,Lake_Charles,40,42,39,38,-2,0.025,0.25,-5
Germany,Landshut,50,50,45,50,0,0,0.2,0
USA,Lansing,40,40,39,40,0,0,0.25,0
China,Lanzhou,38,38,32,38,0,0,0.474,0
Ecuador,Latacunga,40,40,37,40,0,0,0.2,0
Belgium,Leuven,32,32,32,32,0,0,0.25,0
Sweden,Linkoping,44,42,42,44,0,0.136,0.318,0
Portugal,Lisbon,47,48,36,47,0,0.341,0.894,0
USA,Little_Rock,35,34,34,35,0,0.029,0.257,0
Canada,London,40,40,38,40,0,0,0.25,0
USA,Los_Angeles,42,47,38,42,0,0.167,0.381,0
USA,Louisville,46,46,42,46,0,0,0.196,0
USA,Madison,50,50,51,50,0,0.16,0.32,0
UK,Manchester,40,40,38,40,0,0,0.15,0
Colombia,Medellin,40,39,37,40,0,0,0.225,0
Australia,Melbourne,31,26,26,29,-2,0.451,0.677,-6.452
USA,Memphis,50,47,49,50,0,0,0.3,0
Mexico,Mexico_City,33,33,31,30,-3,0,0.121,-9.091
USA,Minneapolis,44,45,43,43,-1,0,0.25,-2.273
Canada,Moncton,40,37,39,40,0,0,0.275,0
Canada,Montreal,49,43,47,48,-1,0.264,0.204,-2.041
Mexico,Morelia,40,40,38,40,0,0,0.225,0
Germany,Muenster,40,40,35,40,0,0,0.45,0
Germany,Munich,51,51,47,51,0,0.02,0.216,0
USA,New_Haven,40,33,35,40,0,0.575,0.7,0
USA,New_York,48,47,37,47,-1,0.396,0.854,-2.083
Australia,Newcastle,45,36,31,44,-1,0.933,1.222,-2.222
USA,Norfolk,40,30,33,39,-1,0.675,0.825,-2.5
Canada,North_Bay,45,42,34,41,-4,0.311,0.932,-8.889
Canada,Orangeville,30,30,30,29,-1,0,0.2,-3.333
Canada,Ottawa,40,38,36,40,0,0.1,0.3,0
New Zealand,Palmerston_North,40,40,37,40,0,0,0.175,0
France,Paris,49,49,54,49,0,0,0.327,0
USA,Philadelphia,40,40,36,40,0,0.025,0.15,0
USA,Pittsburgh,40,40,38,40,0,0,0.25,0
USA,Portland_ME,40,42,32,38,-2,0.4,0.925,-5
USA,Portland_OR,40,39,37,38,-2,0,0.25,-5
USA,Providence,43,45,39,42,-1,0.023,0.279,-2.326
Chile,Punta_Arenas,42,30,27,39,-3,1.001,1.285,-7.143
Canada,Quebec_City,42,43,38,39,-3,0.071,0.333,-7.143
Ecuador,Quito,41,41,39,41,0,0,0.268,0
USA,Raleigh,40,41,39,38,-2,0,0.225,-5
Chile,Rancagua,39,40,37,39,0,0,0.231,0
UK,Reading,43,43,38,43,0,0,0.418,0
France,Rennes,42,42,38,42,0,0,0.19,0
Germany,Reutlingen,40,40,40,40,0,0,0.225,0
USA,Rochester,41,43,37,41,0,0.073,0.341,0
USA,Rockford,40,40,40,40,0,0,0.25,0
USA,Sacramento,41,41,36,41,0,0,0.415,0
USA,Salem,40,40,38,40,0,0,0.25,0
