Continent,Country,City,City_Latitude,City_Longitude,City_Area,Human_Population_Size,Human_Population_Density,City_Age,Number_Nearby_Cities
North America,USA,Albuquerque,35.084,-106.65,608.4,546191,897.75,65,3
Europe,Portugal,Almada,38.68,-9.158,147.8,174030,1177.47,33,5
Europe,Netherlands,Amsterdam,52.373,4.891,315.54,1114745,3532.817,374,10
North America,USA,Anchorage,61.216,-149.895,163.8,291826,1781.6,42,3
Europe,Belgium,Antwerp,51.219,4.402,365.31,483505,1323.547,161,8
Oceania,Australia,Armidale,-30.513,151.669,19.87,23352,1175.239,0,1
North America,USA,Athens,33.96,-83.376,113.15,115441,1020.247,0,4
North America,USA,Atlanta,33.758,-84.388,3324.2,426821,128.398,111,7
North America,USA,Atlantic_City,39.356,-74.436,364.64,39558,108.485,0,8
North America,USA,Baltimore,39.29,-76.612,1230.45,620862,504.581,173,5
North America,Canada,Barrie,44.389,-79.686,69.6,145614,2092.155,0,5
North America,USA,Baton_Rouge,30.448,-91.189,604.59,229422,379.467,61,2
Asia,China,Beijing,39.904,116.407,6142.22,16704306,2719.588,763,5
Europe,Germany,Berlin,52.514,13.393,1139.9,3644826,3197.496,227,6
Europe,Switzerland,Bern,46.948,7.447,56.34,133883,2376.34,0,6
South America,Colombia,Bogota,4.627,-74.107,431.6,7387400,17116.311,116,3
North America,USA,Boston,42.357,-71.056,789.01,617786,782.989,167,6
North America,Canada,Brantford,43.139,-80.264,49.09,98179,1999.98,0,8
Europe,UK,Brighton,50.822,-0.137,94.67,244329,2580.849,124,5
Europe,Belgium,Brussels,50.846,4.356,281.52,157673,560.077,191,8
South America,Argentina,Buenos_Aires,-34.604,-58.382,2356.31,13588171,5766.716,156,2
North America,USA,Burlington,44.476,-73.214,101.13,42899,424.197,0,2
North America,Canada,Calgary,51.047,-114.072,625.23,1237656,1979.521,67,3
Europe,UK,Cambridge,52.205,0.122,43.43,145818,3357.541,0,5
Oceania,Australia,Canberra,-35.308,149.124,326.91,432141,1321.896,49,3
Africa,South Africa,Cape_Town,-33.925,18.424,684.07,3430992,5015.557,119,3
North America,USA,Charlotte,35.227,-80.844,1448.68,753692,520.261,68,4
North America,Canada,Charlottetown,46.235,-63.127,38.22,44739,1170.565,0,1
North America,USA,Chicago,41.878,-87.63,5366.15,2695624,502.339,158,5
Oceania,New Zealand,Christchurch,-43.532,172.636,181.67,374100,2059.228,74,1
North America,USA,Cincinnati,39.103,-84.512,1793.38,296893,165.549,162,3
North America,USA,Cleveland,41.499,-81.694,2179.6,396629,181.973,142,4
Europe,Germany,Cologne,50.941,6.96,434.41,1085664,2499.169,162,7
South America,Brazil,Curitiba,-25.433,-49.272,707.95,1893997,2675.326,112,4
North America,USA,Denver,39.745,-104.99,1704.65,599815,351.87,118,4
North America,USA,Detroit,42.333,-83.048,2776.49,713885,257.118,136,5
North America,Canada,Edmonton,53.544,-113.491,605.8,1062643,1754.115,70,4
North America,USA,Fairbanks,64.838,-147.716,81.93,31535,384.902,0,1
North America,Canada,Fergus,43.704,-80.38,8.81,20767,2357.208,0,7
Europe,Germany,Frankfurt,50.111,8.682,624.61,753056,1205.642,155,8
North America,Canada,Fredericton,45.962,-66.644,57.97,59405,1024.754,0,1
North America,USA,Freehold,40.26,-74.274,107.92,12052,111.675,0,7
Europe,Belgium,Ghent,51.054,3.725,138.97,243366,1751.212,147,9
Europe,UK,Glasgow,55.866,-4.257,448.82,999300,2226.505,201,4
North America,Canada,Guelph,43.545,-80.248,63.75,132397,2076.816,0,9
North America,Canada,Halifax,44.649,-63.575,146.8,316701,2157.364,72,2
Europe,Germany,Halle,51.483,11.971,83.29,239257,2872.578,125,5
Europe,Finland,Helsinki,60.17,24.938,388.83,648042,1666.646,108,4
North America,USA,Hempstead,40.706,-73.626,370.02,53891,145.643,0,6
Asia,Japan,Hiroshima,34.385,132.455,476.36,1194034,2506.579,109,3
North America,USA,Houston,29.759,-95.368,3597.93,2093615,581.894,99,3
North America,USA,Indianapolis,39.768,-86.158,1294.87,820436,633.605,123,5
North America,USA,Jacksonville,30.326,-81.657,1219.62,821764,673.787,85,3
North America,USA,Kalamazoo,42.29,-85.585,180.7,74262,410.968,0,4
Asia,China,Kunming,25.037,102.717,880.35,3385363,3845.474,105,6
Asia,Japan,Kyoto,35.004,135.76,3406.11,1475183,433.099,1170,8
North America,USA,Lake_Charles,30.227,-93.217,236.1,71993,304.926,0,1
Europe,Germany,Landshut,48.536,12.152,30.11,63544,2110.395,0,7
North America,USA,Lansing,42.734,-84.555,279.43,114253,408.879,0,3
Asia,China,Lanzhou,36.058,103.826,245.24,2438595,9943.708,83,4
South America,Ecuador,Latacunga,-0.934,-78.615,15.84,63842,4030.429,0,3
Europe,Belgium,Leuven,50.88,4.701,42.91,95463,2224.726,0,8
Europe,Sweden,Linkoping,58.412,15.622,41.36,116368,2813.54,0,2
Europe,Portugal,Lisbon,38.711,-9.128,409.62,552700,1349.299,386,6
North America,USA,Little_Rock,34.745,-92.275,435.75,193490,444.039,43,3
North America,Canada,London,42.984,-81.248,196.42,383437,1952.128,62,2
North America,USA,Los_Angeles,34.05,-118.255,5378.66,3792820,705.161,118,6
North America,USA,Louisville,38.257,-85.757,849.9,595386,700.537,142,3
North America,USA,Madison,43.075,-89.384,247.36,233163,942.606,55,4
Europe,UK,Manchester,53.481,-2.243,647.75,510746,788.492,202,11
South America,Colombia,Medellin,6.25,-75.566,176.89,2382399,13468.251,97,2
Oceania,Australia,Melbourne,-37.814,144.963,1903.15,4196201,2204.871,155,4
North America,USA,Memphis,35.149,-90.052,898.09,651885,725.857,104,3
North America,Mexico,Mexico_City,19.433,-99.133,1579.06,8421000,5332.92,205,4
North America,USA,Minneapolis,44.977,-93.265,1442.55,382603,265.227,131,4
North America,Canada,Moncton,46.089,-64.776,85.71,108620,1267.297,0,1
North America,Canada,Montreal,45.502,-73.567,1048.97,1782844,1699.614,152,5
North America,Mexico,Morelia,19.703,-101.195,130.19,901782,6926.661,52,1
Europe,Germany,Muenster,51.962,7.625,65.07,314319,4830.475,86,10
Europe,Germany,Munich,48.135,11.582,401.94,1471508,3661.014,161,3
North America,USA,New_Haven,41.308,-72.925,213.57,129884,608.157,0,8
North America,USA,New_York,40.731,-73.987,3296.97,8174988,2479.546,201,7
Oceania,Australia,Newcastle,-32.928,151.782,194.25,322279,1659.094,73,3
North America,USA,Norfolk,36.846,-76.289,703.07,242827,345.381,79,2
North America,Canada,North_Bay,46.309,-79.461,40.2,50396,1253.632,0,1
North America,Canada,Orangeville,43.919,-80.097,18.82,30734,1633.05,0,4
North America,Canada,Ottawa,45.422,-75.697,401.57,989567,2464.245,100,3
Oceania,New Zealand,Palmerston_North,-40.356,175.611,36.89,75400,2043.914,0,1
Europe,France,Paris,48.857,2.352,1751.72,2187526,1248.787,780,3
North America,USA,Philadelphia,39.951,-75.166,2424.4,1526009,629.438,179,5
North America,USA,Pittsburgh,40.441,-80.003,1199.77,305376,254.529,141,2
North America,USA,Portland_ME,43.657,-70.253,102.19,66194,647.754,0,5
North America,USA,Portland_OR,45.516,-122.681,1017.18,583792,573.932,115,2
North America,USA,Providence,41.824,-71.413,596.25,177844,298.271,126,5
South America,Chile,Punta_Arenas,-53.163,-70.908,24.45,124169,5078.487,0,1
North America,Canada,Quebec_City,46.814,-71.206,360.06,705103,1958.293,93,1
South America,Ecuador,Quito,-0.187,-78.48,498.68,1607734,3223.979,89,1
North America,USA,Raleigh,35.775,-78.64,1281.85,404073,315.226,40,3
South America,Chile,Rancagua,-34.168,-70.738,55.17,231890,4203.19,23,1
Europe,UK,Reading,51.455,-0.969,91.31,218705,2395.192,14,10
Europe,France,Rennes,48.112,-1.68,119.31,216815,1817.241,62,1
Europe,Germany,Reutlingen,48.492,9.211,38.39,115966,3020.735,0,7
North America,USA,Rochester,43.156,-77.605,523.41,210565,402.295,124,1
North America,USA,Rockford,42.271,-89.094,460.91,153283,332.566,20,6
North America,USA,Sacramento,38.582,-121.494,932.05,466390,500.392,68,4
North America,USA,Salem,44.941,-123.039,330.43,154909,468.81,13,8
South America,Brazil,Santa_Maria,-29.686,-53.811,57.74,248347,4301.126,51,1
South America,Chile,Santiago,-33.442,-70.646,653.94,5220161,7982.63,148,1
Asia,Japan,Sapporo,43.061,141.355,441.56,1952356,4421.497,100,5
North America,USA,Seattle,47.606,-122.332,2167.94,608666,280.758,116,3
Asia,China,Shanghai,31.23,121.474,9212.14,20217748,2194.685,173,3
