UID,Country,City,Latitude,Longitude
Zurich.1,Switzerland,Zurich,47.3736417987313,8.52031778719831
Zurich.2,Switzerland,Zurich,47.3719088545221,8.51821066128656
Zurich.3,Switzerland,Zurich,47.3820480502069,8.54930654646703
Zurich.4,Switzerland,Zurich,47.3841620112931,8.5414022547729
Zurich.5,Switzerland,Zurich,47.384392345894,8.53756926852956
Zurich.6,Switzerland,Zurich,47.3734001226163,8.52420373399355
Zurich.7,Switzerland,Zurich,47.3748295965688,8.53031184705892
Zurich.8,Switzerland,Zurich,47.3762261787013,8.53175289710904
Zurich.9,Switzerland,Zurich,47.3742346698639,8.53980623868323
Zurich.10,Switzerland,Zurich,47.3713559187175,8.50791549139743
Zurich.11,Switzerland,Zurich,47.3727109503371,8.50238029285359
Zurich.12,Switzerland,Zurich,47.3697824339212,8.49966453602876
Zurich.13,Switzerland,Zurich,47.3669783691924,8.49696502659062
Zurich.14,Switzerland,Zurich,47.3665687957137,8.49605942682496
Zurich.15,Switzerland,Zurich,47.3666069177113,8.49103396713322
Zurich.16,Switzerland,Zurich,47.3663557721338,8.48731768276589
Zurich.17,Switzerland,Zurich,47.3596648850844,8.47398763021566
Zurich.18,Switzerland,Zurich,47.3627333891988,8.48358663767476
Zurich.19,Switzerland,Zurich,47.3602772328871,8.47021879413691
Zurich.20,Switzerland,Zurich,47.3573851257495,8.46617497782002
Zurich.21,Switzerland,Zurich,47.3581375424353,8.46110793365394
Zurich.22,Switzerland,Zurich,47.3561345384117,8.45522563074677
Zurich.23,Switzerland,Zurich,47.354958141064,8.4506747730144
Zurich.24,Switzerland,Zurich,47.3525286742374,8.44831456116195
Zurich.25,Switzerland,Zurich,47.3507576224418,8.44271964686615
Zurich.26,Switzerland,Zurich,47.3508062823635,8.43927612019832
Zurich.27,Switzerland,Zurich,47.3495526929443,8.4301964002022
Zurich.28,Switzerland,Zurich,47.3455368478602,8.4292273481084
Zurich.29,Switzerland,Zurich,47.3433578431905,8.42603203223368
Zurich.30,Switzerland,Zurich,47.3445072379437,8.41927953607661
Zurich.31,Switzerland,Zurich,47.3432964512385,8.4140105378412
Zurich.32,Switzerland,Zurich,47.3424687182552,8.40873595335725
Zurich.33,Switzerland,Zurich,47.3394826113502,8.40697505000054
Zurich.34,Switzerland,Zurich,47.3409400611854,8.39971361940128
Zurich.35,Switzerland,Zurich,47.3383630658759,8.39737931501353
Zurich.36,Switzerland,Zurich,47.3341129888632,8.39216605290564
Zurich.37,Switzerland,Zurich,47.3304819586086,8.38429490776212
Zurich.38,Switzerland,Zurich,47.3293977256136,8.38022434701297
Zurich.39,Switzerland,Zurich,47.3290732433563,8.36769183335351
Zurich.40,Switzerland,Zurich,47.3269483733067,8.36297196800668
