UID,Country,City,Latitude,Longitude
Reutlingen.1,Germany,Reutlingen,48.4891520630467,9.2103249431
Reutlingen.2,Germany,Reutlingen,48.4965609820362,9.21743552460974
Reutlingen.3,Germany,Reutlingen,48.4978101163064,9.21510355364615
Reutlingen.4,Germany,Reutlingen,48.4929303696558,9.20781384290937
Reutlingen.5,Germany,Reutlingen,48.4945721144497,9.20535925475008
Reutlingen.6,Germany,Reutlingen,48.4912956120544,9.19940744418075
Reutlingen.7,Germany,Reutlingen,48.4937373299775,9.19879727815114
Reutlingen.8,Germany,Reutlingen,48.4948572731284,9.19707843658229
Reutlingen.9,Germany,Reutlingen,48.4985491269554,9.19757148051544
Reutlingen.10,Germany,Reutlingen,48.5003882614976,9.1977550809937
Reutlingen.11,Germany,Reutlingen,48.5032806457528,9.19779823560296
Reutlingen.12,Germany,Reutlingen,48.5087406161255,9.19698165215359
Reutlingen.13,Germany,Reutlingen,48.5111557342768,9.20066244749088
Reutlingen.14,Germany,Reutlingen,48.5165089709117,9.20336741098984
Reutlingen.15,Germany,Reutlingen,48.5193134405376,9.20030697799474
Reutlingen.16,Germany,Reutlingen,48.5204437444772,9.1989048028972
Reutlingen.17,Germany,Reutlingen,48.5203029821752,9.19629209625957
Reutlingen.18,Germany,Reutlingen,48.5259921986673,9.19594464308716
Reutlingen.19,Germany,Reutlingen,48.5284921199782,9.19568107821978
Reutlingen.20,Germany,Reutlingen,48.5306325878,9.19384930571653
Reutlingen.21,Germany,Reutlingen,48.5313695832256,9.19220162621412
Reutlingen.22,Germany,Reutlingen,48.5334216519461,9.19128445285743
Reutlingen.23,Germany,Reutlingen,48.5359804044634,9.19179745729742
Reutlingen.24,Germany,Reutlingen,48.5356832493202,9.18842029446141
Reutlingen.25,Germany,Reutlingen,48.5385753224067,9.18792540734072
Reutlingen.26,Germany,Reutlingen,48.5412799381229,9.18689740791076
Reutlingen.27,Germany,Reutlingen,48.5468316479249,9.18931907227111
Reutlingen.28,Germany,Reutlingen,48.5473629686581,9.18686293317112
Reutlingen.29,Germany,Reutlingen,48.5480246390038,9.18461096306616
Reutlingen.30,Germany,Reutlingen,48.5500698786932,9.18193171100398
Reutlingen.31,Germany,Reutlingen,48.5541051926176,9.18154376960154
Reutlingen.32,Germany,Reutlingen,48.5558916382461,9.17882915323519
Reutlingen.33,Germany,Reutlingen,48.5567626571399,9.17615700913605
Reutlingen.34,Germany,Reutlingen,48.5585935935705,9.17450261565594
Reutlingen.35,Germany,Reutlingen,48.5586474399459,9.17231922412718
Reutlingen.36,Germany,Reutlingen,48.5603865142238,9.17039914973904
Reutlingen.37,Germany,Reutlingen,48.5622707947208,9.16939820817804
Reutlingen.38,Germany,Reutlingen,48.5645527645687,9.16781708717911
Reutlingen.39,Germany,Reutlingen,48.562667482655,9.1637153173043
Reutlingen.40,Germany,Reutlingen,48.5650899686159,9.16256975597062
