UID,Country,City,Mean_Annual_Temperature,Temperature_Seasonality,Range_Annual_Temperature,Annual_Precipitation,Precipitation_Seasonality
Rockford.1,USA,Rockford,8.745833396911621,10.81384765625,40.900001525878906,915,36.01457977294922
Rockford.2,USA,Rockford,8.366666793823242,10.83626708984375,41.099998474121094,881,36.83877944946289
Rockford.3,USA,Rockford,8.637499809265137,10.87773193359375,41.099998474121094,881,36.92334747314453
Rockford.4,USA,Rockford,8.675000190734863,10.835726318359375,41,914,36.351654052734375
Rockford.5,USA,Rockford,8.695833206176758,10.888369140625,41.29999923706055,864,37.342044830322266
Rockford.6,USA,Rockford,8.354166984558105,10.8550048828125,40.900001525878906,904,36.66136932373047
Rockford.7,USA,Rockford,8.545833587646484,10.77369384765625,40.79999923706055,912,36.2580680847168
Rockford.8,USA,Rockford,9.074999809265137,10.95265625,41.5,902,36.439666748046875
Rockford.9,USA,Rockford,8.720833778381348,10.832242431640625,41,916,36.36330032348633
Rockford.10,USA,Rockford,8.762499809265137,10.831773681640625,41,917,36.43724822998047
Rockford.11,USA,Rockford,8.962499618530273,10.9209375,41.29999923706055,882,37.07270431518555
Rockford.12,USA,Rockford,8.691666603088379,10.8195068359375,40.900001525878906,913,36.31782913208008
Rockford.13,USA,Rockford,8.358333587646484,10.864722900390625,41.099998474121094,891,36.79767608642578
Rockford.14,USA,Rockford,8.808333396911621,10.8960546875,41.30000305175781,920,36.53458023071289
Rockford.15,USA,Rockford,8.737500190734863,10.808521728515625,40.900001525878906,919,36.271636962890625
Rockford.16,USA,Rockford,8.3125,10.87190185546875,41.099998474121094,895,36.606422424316406
Rockford.17,USA,Rockford,8.716667175292969,10.866783447265625,41.20000076293945,913,36.40618896484375
Rockford.18,USA,Rockford,8.704166412353516,10.787882080078125,40.80000305175781,914,36.38104248046875
Rockford.19,USA,Rockford,8.387499809265137,10.8475830078125,40.79999923706055,906,36.738983154296875
Rockford.20,USA,Rockford,8.345833778381348,10.85636474609375,40.900001525878906,888,36.7266731262207
Rockford.21,USA,Rockford,8.654166221618652,10.85898193359375,41.20000076293945,863,37.028377532958984
Rockford.22,USA,Rockford,8.412500381469727,10.806903076171874,41.099998474121094,863,37.08835983276367
Rockford.23,USA,Rockford,8.379166603088379,10.852596435546875,41,888,36.7354736328125
Rockford.24,USA,Rockford,8.537500381469727,10.82115234375,41,903,36.37531280517578
Rockford.25,USA,Rockford,8.654166221618652,10.780694580078125,40.70000076293945,921,36.125953674316406
Rockford.26,USA,Rockford,9.100000381469727,10.95252197265625,41.400001525878906,908,36.88554000854492
Rockford.27,USA,Rockford,9.029167175292969,10.951907958984375,41.5,899,36.88450622558594
Rockford.28,USA,Rockford,9.020833015441895,10.9449755859375,41.5,901,36.615474700927734
Rockford.29,USA,Rockford,8.358333587646484,10.869302978515625,41.099998474121094,893,36.687320709228516
Rockford.30,USA,Rockford,8.449999809265137,10.866650390625,40.79999923706055,883,36.796451568603516
Rockford.31,USA,Rockford,8.329166412353516,10.862037353515625,40.900001525878906,902,36.60699462890625
Rockford.32,USA,Rockford,8.391666412353516,10.811669921875,41,891,36.323429107666016
Rockford.33,USA,Rockford,8.720833778381348,10.807373046875,40.79999923706055,917,35.946895599365234
Rockford.34,USA,Rockford,8.541666984558105,10.84210693359375,41.20000076293945,898,36.66888427734375
Rockford.35,USA,Rockford,8.449999809265137,10.8709375,41,899,36.65715026855469
Rockford.36,USA,Rockford,8.983333587646484,10.933919677734375,41.29999923706055,894,36.57731246948242
Rockford.37,USA,Rockford,8.679166793823242,10.876903076171875,41.20000076293945,874,36.94240188598633
Rockford.38,USA,Rockford,8.545833587646484,10.84000244140625,41.099998474121094,889,36.40553283691406
Rockford.39,USA,Rockford,9.0625,10.934892578125,41.29999923706055,900,36.57627868652344
Rockford.40,USA,Rockford,8.458333015441895,10.868153076171875,41,895,36.671573638916016
