Country,City,Systematic_Point_Latitude,Systematic_Point_Longitude
UK,Glasgow,55.6819281702081,-4.445879903175913
UK,Glasgow,55.6819281702081,-4.359879903175913
UK,Glasgow,55.6819281702081,-4.273879903175913
UK,Glasgow,55.6819281702081,-4.187879903175913
UK,Glasgow,55.6819281702081,-4.101879903175913
UK,Glasgow,55.7679281702081,-4.531879903175913
UK,Glasgow,55.7679281702081,-4.445879903175913
UK,Glasgow,55.7679281702081,-4.359879903175913
UK,Glasgow,55.7679281702081,-4.273879903175913
UK,Glasgow,55.7679281702081,-4.187879903175913
UK,Glasgow,55.7679281702081,-4.101879903175913
UK,Glasgow,55.7679281702081,-4.015879903175913
UK,Glasgow,55.7679281702081,-3.9298799031759133
UK,Glasgow,55.8539281702081,-4.617879903175913
UK,Glasgow,55.8539281702081,-4.531879903175913
UK,Glasgow,55.8539281702081,-4.445879903175913
UK,Glasgow,55.8539281702081,-4.359879903175913
UK,Glasgow,55.8539281702081,-4.273879903175913
UK,Glasgow,55.8539281702081,-4.187879903175913
UK,Glasgow,55.8539281702081,-4.101879903175913
UK,Glasgow,55.8539281702081,-4.015879903175913
UK,Glasgow,55.8539281702081,-3.9298799031759133
UK,Glasgow,55.939928170208105,-4.617879903175913
UK,Glasgow,55.939928170208105,-4.531879903175913
UK,Glasgow,55.939928170208105,-4.445879903175913
UK,Glasgow,55.939928170208105,-4.359879903175913
UK,Glasgow,55.939928170208105,-4.273879903175913
UK,Glasgow,55.939928170208105,-4.187879903175913
UK,Glasgow,55.939928170208105,-4.101879903175913
UK,Glasgow,55.939928170208105,-4.015879903175913
UK,Glasgow,55.939928170208105,-3.9298799031759133
UK,Glasgow,56.025928170208104,-4.531879903175913
UK,Glasgow,56.025928170208104,-4.445879903175913
UK,Glasgow,56.025928170208104,-4.359879903175913
UK,Glasgow,56.025928170208104,-4.273879903175913
UK,Glasgow,56.025928170208104,-4.187879903175913
UK,Glasgow,56.025928170208104,-4.101879903175913
UK,Glasgow,56.025928170208104,-4.015879903175913
