Country,City,Systematic_Point_Latitude,Systematic_Point_Longitude
UK,Reading,51.38518443959041,-1.0364572016683207
UK,Reading,51.38518443959041,-1.0094572016683208
UK,Reading,51.38518443959041,-0.9824572016683207
UK,Reading,51.38518443959041,-0.9554572016683207
UK,Reading,51.38518443959041,-0.9284572016683207
UK,Reading,51.38518443959041,-0.9014572016683207
UK,Reading,51.41218443959041,-1.0634572016683208
UK,Reading,51.41218443959041,-1.0364572016683207
UK,Reading,51.41218443959041,-1.0094572016683208
UK,Reading,51.41218443959041,-0.9824572016683207
UK,Reading,51.41218443959041,-0.9554572016683207
UK,Reading,51.41218443959041,-0.9284572016683207
UK,Reading,51.41218443959041,-0.9014572016683207
UK,Reading,51.41218443959041,-0.8744572016683207
UK,Reading,51.43918443959041,-1.0904572016683207
UK,Reading,51.43918443959041,-1.0634572016683208
UK,Reading,51.43918443959041,-1.0364572016683207
UK,Reading,51.43918443959041,-1.0094572016683208
UK,Reading,51.43918443959041,-0.9824572016683207
UK,Reading,51.43918443959041,-0.9554572016683207
UK,Reading,51.43918443959041,-0.9284572016683207
UK,Reading,51.43918443959041,-0.9014572016683207
UK,Reading,51.43918443959041,-0.8744572016683207
UK,Reading,51.43918443959041,-0.8474572016683207
UK,Reading,51.466184439590414,-1.0904572016683207
UK,Reading,51.466184439590414,-1.0634572016683208
UK,Reading,51.466184439590414,-1.0364572016683207
UK,Reading,51.466184439590414,-1.0094572016683208
UK,Reading,51.466184439590414,-0.9824572016683207
UK,Reading,51.466184439590414,-0.9554572016683207
UK,Reading,51.466184439590414,-0.9284572016683207
UK,Reading,51.466184439590414,-0.9014572016683207
UK,Reading,51.466184439590414,-0.8744572016683207
UK,Reading,51.466184439590414,-0.8474572016683207
UK,Reading,51.49318443959041,-1.0634572016683208
UK,Reading,51.49318443959041,-1.0364572016683207
UK,Reading,51.49318443959041,-1.0094572016683208
UK,Reading,51.49318443959041,-0.9824572016683207
UK,Reading,51.49318443959041,-0.9554572016683207
UK,Reading,51.49318443959041,-0.9284572016683207
UK,Reading,51.49318443959041,-0.9014572016683207
UK,Reading,51.49318443959041,-0.8744572016683207
UK,Reading,51.52018443959041,-1.0364572016683207
UK,Reading,51.52018443959041,-1.0094572016683208
UK,Reading,51.52018443959041,-0.9824572016683207
UK,Reading,51.52018443959041,-0.9554572016683207
UK,Reading,51.52018443959041,-0.9284572016683207
UK,Reading,51.52018443959041,-0.9014572016683207
