Continent,Country,City,City_Latitude,City_Longitude,Population,Population_Latitude,Population_Longitude,Maximum_Distance
North America,USA,Atlanta,33.757758,-84.388372,1,33.580935,-84.690674,34.1939
North America,USA,Atlanta,33.757758,-84.388372,2,33.578665,-84.680071,34.1939
North America,USA,Atlanta,33.757758,-84.388372,3,33.575253,-84.671089,34.1939
North America,USA,Atlanta,33.757758,-84.388372,4,33.572524,-84.662849,34.1939
North America,USA,Atlanta,33.757758,-84.388372,5,33.572719,-84.651049,34.1939
North America,USA,Atlanta,33.757758,-84.388372,6,33.571768,-84.63809,34.1939
North America,USA,Atlanta,33.757758,-84.388372,7,33.575296,-84.630425,34.1939
North America,USA,Atlanta,33.757758,-84.388372,8,33.573607,-84.619066,34.1939
North America,USA,Atlanta,33.757758,-84.388372,9,33.574739,-84.609136,34.1939
North America,USA,Atlanta,33.757758,-84.388372,10,33.574918,-84.59891,34.1939
North America,USA,Atlanta,33.757758,-84.388372,11,33.56886,-84.584804,34.1939
North America,USA,Atlanta,33.757758,-84.388372,12,33.569995,-84.574178,34.1939
North America,USA,Atlanta,33.757758,-84.388372,13,33.57685,-84.559421,34.1939
North America,USA,Atlanta,33.757758,-84.388372,14,33.583024,-84.549447,34.1939
North America,USA,Atlanta,33.757758,-84.388372,15,33.595387,-84.546821,34.1939
North America,USA,Atlanta,33.757758,-84.388372,16,33.604207,-84.537996,34.1939
North America,USA,Atlanta,33.757758,-84.388372,17,33.607254,-84.529742,34.1939
North America,USA,Atlanta,33.757758,-84.388372,18,33.611845,-84.519007,34.1939
North America,USA,Atlanta,33.757758,-84.388372,19,33.619172,-84.510247,34.1939
North America,USA,Atlanta,33.757758,-84.388372,20,33.620712,-84.503997,34.1939
North America,USA,Atlanta,33.757758,-84.388372,21,33.622626,-84.488884,34.1939
North America,USA,Atlanta,33.757758,-84.388372,22,33.624875,-84.477394,34.1939
North America,USA,Atlanta,33.757758,-84.388372,23,33.632218,-84.468452,34.1939
North America,USA,Atlanta,33.757758,-84.388372,24,33.641732,-84.467683,34.1939
North America,USA,Atlanta,33.757758,-84.388372,25,33.651934,-84.470666,34.1939
North America,USA,Atlanta,33.757758,-84.388372,26,33.660549,-84.468862,34.1939
North America,USA,Atlanta,33.757758,-84.388372,27,33.666759,-84.465386,34.1939
North America,USA,Atlanta,33.757758,-84.388372,28,33.671274,-84.460025,34.1939
North America,USA,Atlanta,33.757758,-84.388372,29,33.675384,-84.448907,34.1939
North America,USA,Atlanta,33.757758,-84.388372,30,33.680742,-84.440582,34.1939
North America,USA,Atlanta,33.757758,-84.388372,31,33.696144,-84.432528,34.1939
North America,USA,Atlanta,33.757758,-84.388372,32,33.717523,-84.427056,34.1939
North America,USA,Atlanta,33.757758,-84.388372,33,33.731223,-84.419373,34.1939
North America,USA,Atlanta,33.757758,-84.388372,34,33.744458,-84.417923,34.1939
North America,USA,Atlanta,33.757758,-84.388372,35,33.73715,-84.403285,34.1939
North America,USA,Atlanta,33.757758,-84.388372,36,33.740698,-84.393074,34.1939
North America,USA,Atlanta,33.757758,-84.388372,37,33.748,-84.390479,34.1939
North America,USA,Atlanta,33.757758,-84.388372,38,33.754412,-84.385008,34.1939
North America,USA,Atlanta,33.757758,-84.388372,39,33.760479,-84.381855,34.1939
North America,USA,Atlanta,33.757758,-84.388372,40,33.766849,-84.385062,34.1939
North America,USA,Atlanta,33.757758,-84.388372,41,33.768616,-84.382138,34.1939
North America,USA,Atlanta,33.757758,-84.388372,42,33.770818,-84.376497,34.1939
North America,USA,Atlanta,33.757758,-84.388372,43,33.76918,-84.363643,34.1939
North America,USA,Atlanta,33.757758,-84.388372,44,33.770606,-84.357177,34.1939
North America,USA,Atlanta,33.757758,-84.388372,45,33.772432,-84.350374,34.1939
