Continent,Country,City,City_Latitude,City_Longitude,Population,Population_Latitude,Population_Longitude,Maximum_Distance
North America,USA,Athens,33.959768,-83.376398,1,33.91895,-83.3482,17.5142
North America,USA,Athens,33.959768,-83.376398,2,33.92145,-83.34671,17.5142
North America,USA,Athens,33.959768,-83.376398,3,33.9304167,-83.3591667,17.5142
North America,USA,Athens,33.959768,-83.376398,4,33.929467,-83.363833,17.5142
North America,USA,Athens,33.959768,-83.376398,5,33.9721167,-83.3884667,17.5142
North America,USA,Athens,33.959768,-83.376398,6,33.968483,-83.3708,17.5142
North America,USA,Athens,33.959768,-83.376398,7,33.9642,-83.3778833,17.5142
North America,USA,Athens,33.959768,-83.376398,8,33.96295,-83.3759,17.5142
North America,USA,Athens,33.959768,-83.376398,9,33.96325,-83.3747667,17.5142
North America,USA,Athens,33.959768,-83.376398,10,33.95515,-83.371033,17.5142
North America,USA,Athens,33.959768,-83.376398,11,33.9509167,-83.3704833,17.5142
North America,USA,Athens,33.959768,-83.376398,12,33.942483,-83.37265,17.5142
North America,USA,Athens,33.959768,-83.376398,13,33.936483,-83.373533,17.5142
North America,USA,Athens,33.959768,-83.376398,14,33.9336,-83.3707833,17.5142
North America,USA,Athens,33.959768,-83.376398,15,33.92095,-83.343233,17.5142
North America,USA,Athens,33.959768,-83.376398,16,33.92615,-83.3302,17.5142
North America,USA,Athens,33.959768,-83.376398,17,33.9111,-83.3140167,17.5142
North America,USA,Athens,33.959768,-83.376398,18,33.904883,-83.31665,17.5142
North America,USA,Athens,33.959768,-83.376398,19,33.9047333,-83.2965667,17.5142
North America,USA,Athens,33.959768,-83.376398,20,33.8954167,-83.2881,17.5142
North America,USA,Athens,33.959768,-83.376398,21,33.874783,-83.2873167,17.5142
North America,USA,Athens,33.959768,-83.376398,22,33.8483167,-83.2839667,17.5142
North America,USA,Athens,33.959768,-83.376398,23,33.8393,-83.27975,17.5142
North America,USA,Athens,33.959768,-83.376398,24,33.825083,-83.2780167,17.5142
North America,USA,Athens,33.959768,-83.376398,25,33.8540833,-83.3090833,17.5142
North America,USA,Athens,33.959768,-83.376398,26,33.913367,-83.3424333,17.5142
North America,USA,Athens,33.959768,-83.376398,27,33.9056167,-83.3377,17.5142
North America,USA,Athens,33.959768,-83.376398,28,33.901567,-83.3369667,17.5142
