Continent,Country,City,City_Latitude,City_Longitude,Population,Population_Latitude,Population_Longitude,Distance,Maximum_Distance,Standardized_Distance
Oceania,Australia,Wollongong,-34.424394,150.89385,1,-34.424170000000004,150.89551,0.1543,16.6343,0.0093
Oceania,Australia,Wollongong,-34.424394,150.89385,2,-34.42665,150.8919,0.3081,16.6343,0.0185
Oceania,Australia,Wollongong,-34.424394,150.89385,3,-34.4282,150.88691,0.7644,16.6343,0.046
Oceania,Australia,Wollongong,-34.424394,150.89385,4,-34.43007,150.883071,1.1729,16.6343,0.0705
Oceania,Australia,Wollongong,-34.424394,150.89385,5,-34.43188,150.87885,1.608,16.6343,0.0967
Oceania,Australia,Wollongong,-34.424394,150.89385,6,-34.4349,150.87549,2.0495,16.6343,0.1232
Oceania,Australia,Wollongong,-34.424394,150.89385,7,-34.43557,150.8706,2.4681,16.6343,0.1484
Oceania,Australia,Wollongong,-34.424394,150.89385,8,-34.437661,150.86623799999998,2.9308,16.6343,0.1762
Oceania,Australia,Wollongong,-34.424394,150.89385,9,-34.4399,150.86218,3.3778,16.6343,0.2031
Oceania,Australia,Wollongong,-34.424394,150.89385,10,-34.442240000000005,150.85612,3.9889,16.6343,0.2398
Oceania,Australia,Wollongong,-34.424394,150.89385,11,-34.443915000000004,150.853377,4.2999,16.6343,0.2585
Oceania,Australia,Wollongong,-34.424394,150.89385,12,-34.445811,150.849675,4.6994,16.6343,0.2825
Oceania,Australia,Wollongong,-34.424394,150.89385,13,-34.44733,150.84422,5.2173,16.6343,0.3136
Oceania,Australia,Wollongong,-34.424394,150.89385,14,-34.449813,150.84098799999998,5.6116,16.6343,0.3374
Oceania,Australia,Wollongong,-34.424394,150.89385,15,-34.45132,150.83691000000002,6.0192,16.6343,0.3619
Oceania,Australia,Wollongong,-34.424394,150.89385,16,-34.45281,150.83238,6.4623,16.6343,0.3885
Oceania,Australia,Wollongong,-34.424394,150.89385,17,-34.454479,150.82771,6.9267,16.6343,0.4164
Oceania,Australia,Wollongong,-34.424394,150.89385,18,-34.45709,150.82391,7.3725,16.6343,0.4432
Oceania,Australia,Wollongong,-34.424394,150.89385,19,-34.458634000000004,150.819431,7.8146,16.6343,0.4698
Oceania,Australia,Wollongong,-34.424394,150.89385,20,-34.460503,150.81562,8.221,16.6343,0.4942
Oceania,Australia,Wollongong,-34.424394,150.89385,21,-34.4664,150.81349,8.7245,16.6343,0.5245
Oceania,Australia,Wollongong,-34.424394,150.89385,22,-34.466411,150.806422,9.2791,16.6343,0.5578
Oceania,Australia,Wollongong,-34.424394,150.89385,23,-34.4664,150.804826,9.4052,16.6343,0.5654
Oceania,Australia,Wollongong,-34.424394,150.89385,24,-34.469467,150.798281,10.0953,16.6343,0.6069
Oceania,Australia,Wollongong,-34.424394,150.89385,25,-34.47020379999999,150.7949951,10.3978,16.6343,0.6251
Oceania,Australia,Wollongong,-34.424394,150.89385,26,-34.472936,150.789692,10.9705,16.6343,0.6595
Oceania,Australia,Wollongong,-34.424394,150.89385,27,-34.4761657,150.7878762,11.2943,16.6343,0.679
Oceania,Australia,Wollongong,-34.424394,150.89385,28,-34.4786562,150.78316830000003,11.8068,16.6343,0.7098
Oceania,Australia,Wollongong,-34.424394,150.89385,29,-34.4803673,150.7783735,12.282,16.6343,0.7384
Oceania,Australia,Wollongong,-34.424394,150.89385,30,-34.479665600000004,150.773178,12.6569,16.6343,0.7609
Oceania,Australia,Wollongong,-34.424394,150.89385,31,-34.478837299999995,150.7664081,13.1604,16.6343,0.7912
Oceania,Australia,Wollongong,-34.424394,150.89385,32,-34.4818744,150.76679040000002,13.2882,16.6343,0.7988
Oceania,Australia,Wollongong,-34.424394,150.89385,33,-34.4892832,150.76419730000003,13.9058,16.6343,0.836
Oceania,Australia,Wollongong,-34.424394,150.89385,34,-34.4942891,150.7599276,14.5315,16.6343,0.8736
Oceania,Australia,Wollongong,-34.424394,150.89385,35,-34.49406079999999,150.75429330000003,14.9574,16.6343,0.8992
Oceania,Australia,Wollongong,-34.424394,150.89385,36,-34.4957945,150.74967180000002,15.4196,16.6343,0.927
Oceania,Australia,Wollongong,-34.424394,150.89385,37,-34.4957611,150.7467046,15.6516,16.6343,0.9409
Oceania,Australia,Wollongong,-34.424394,150.89385,38,-34.4962905,150.7377286,16.3948,16.6343,0.9856
Oceania,Australia,Wollongong,-34.424394,150.89385,39,-34.4967801,150.7350696,16.6343,16.6343,1
Oceania,Australia,Wollongong,-34.424394,150.89385,40,-34.507745799999995,150.7526816,15.9182,16.6343,0.957
