UID,Country,City,GMIS_Mean
Portland_ME.1,USA,Portland_ME,0.35785953177257523
Portland_ME.2,USA,Portland_ME,1.4983498349834983
Portland_ME.3,USA,Portland_ME,2.9078947368421053
Portland_ME.4,USA,Portland_ME,0.1986754966887417
Portland_ME.5,USA,Portland_ME,0
Portland_ME.6,USA,Portland_ME,0.0462046204620462
Portland_ME.7,USA,Portland_ME,3.937293729372937
Portland_ME.8,USA,Portland_ME,0
Portland_ME.9,USA,Portland_ME,0
Portland_ME.10,USA,Portland_ME,1.0735785953177257
Portland_ME.11,USA,Portland_ME,40.41275167785235
Portland_ME.12,USA,Portland_ME,5.8762541806020065
Portland_ME.13,USA,Portland_ME,0.939799331103679
Portland_ME.14,USA,Portland_ME,0
Portland_ME.15,USA,Portland_ME,6.518394648829432
Portland_ME.16,USA,Portland_ME,21.045307443365697
Portland_ME.17,USA,Portland_ME,87.66666666666667
Portland_ME.18,USA,Portland_ME,37.05537459283388
Portland_ME.19,USA,Portland_ME,34.48184818481848
Portland_ME.20,USA,Portland_ME,0
Portland_ME.21,USA,Portland_ME,4.624161073825503
Portland_ME.22,USA,Portland_ME,16.643333333333334
Portland_ME.23,USA,Portland_ME,1.82
Portland_ME.24,USA,Portland_ME,16.85333333333333
Portland_ME.25,USA,Portland_ME,0
Portland_ME.26,USA,Portland_ME,0
Portland_ME.27,USA,Portland_ME,9.156146179401993
Portland_ME.28,USA,Portland_ME,4.8762214983713354
Portland_ME.29,USA,Portland_ME,0
Portland_ME.30,USA,Portland_ME,0.006666666666666667
Portland_ME.31,USA,Portland_ME,0
Portland_ME.32,USA,Portland_ME,0
Portland_ME.33,USA,Portland_ME,0
Portland_ME.34,USA,Portland_ME,0
