Site_ID,UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
1,Athens.1,USA,Athens,5795.739130434783,3584.6,7694.4
2,Athens.2,USA,Athens,4941.347826086957,3265.4,6316
3,Athens.3,USA,Athens,5891.869565217392,3909.8,7599.4
4,Athens.4,USA,Athens,3884.5652173913045,2281.2,6008
5,Athens.5,USA,Athens,3102.8347826086956,1592.2,5386
6,Athens.6,USA,Athens,5461.617391304348,3596.2,7370.8
7,Athens.7,USA,Athens,4829.669565217391,3217.4,6456.6
8,Athens.8,USA,Athens,4220,2243.8,6105.6
9,Athens.9,USA,Athens,4220,2243.8,6105.6
10,Athens.10,USA,Athens,3619.3826086956524,2149,5368.2
11,Athens.11,USA,Athens,4431.139130434783,2743,6369.8
12,Athens.12,USA,Athens,3279.295652173913,2043.4,4922.4
13,Athens.13,USA,Athens,4873.217391304348,2517,6732.6
14,Athens.14,USA,Athens,4856.765217391305,2613.6,7005.4
15,Athens.15,USA,Athens,4242.765217391305,2529.4,6076.6
16,Athens.16,USA,Athens,5134.365217391304,3385.4,7049
17,Athens.17,USA,Athens,6084.791304347827,3095.6,7645.6
18,Athens.18,USA,Athens,5860.217391304348,3770,8128
19,Athens.19,USA,Athens,6627.652173913043,4250.6,8260.2
20,Athens.20,USA,Athens,6344.817391304347,4277.6,8046.4
21,Athens.21,USA,Athens,6701.791304347827,4204.8,8480
22,Athens.22,USA,Athens,6486,4855.2,8187.8
23,Athens.23,USA,Athens,6820.826086956522,5144.8,8228.8
24,Athens.24,USA,Athens,7044.434782608696,5272.4,8542.2
25,Athens.25,USA,Athens,6426.739130434783,4516.4,8105.8
26,Athens.26,USA,Athens,6300.24347826087,4463.8,7654.2
27,Athens.27,USA,Athens,5838.939130434783,3942.6,7558
28,Athens.28,USA,Athens,5421.643478260869,3175,7612.2
