Site_ID,UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
1,Atlanta.1,USA,Atlanta,6407.182608695653,2913,8336.8
2,Atlanta.2,USA,Atlanta,7203.547826086957,5207.6,8612.4
3,Atlanta.3,USA,Atlanta,6705.060869565217,4321.4,8249.4
4,Atlanta.4,USA,Atlanta,6458.913043478261,4090.2,8395
5,Atlanta.5,USA,Atlanta,6831.634782608696,3595.2,8364.8
6,Atlanta.6,USA,Atlanta,5987.373913043478,3775.6,7933
7,Atlanta.7,USA,Atlanta,5598.026086956522,3733.8,7640
8,Atlanta.8,USA,Atlanta,5829.24347826087,3830.6,7630.8
9,Atlanta.9,USA,Atlanta,6859.234782608695,4968.2,8409.4
10,Atlanta.10,USA,Atlanta,6518.026086956522,3117.6,8087.8
11,Atlanta.11,USA,Atlanta,6473.417391304348,4390.6,8049.6
12,Atlanta.12,USA,Atlanta,4861.991304347826,3011,6868.8
13,Atlanta.13,USA,Atlanta,5584.478260869565,3696.8,7415.4
14,Atlanta.14,USA,Atlanta,6184.147826086956,3788.2,8181
15,Atlanta.15,USA,Atlanta,6318.24347826087,3539,8171
16,Atlanta.16,USA,Atlanta,4940.747826086957,2410.2,7334
17,Atlanta.17,USA,Atlanta,4151.417391304348,2073,5968
18,Atlanta.18,USA,Atlanta,6071.547826086956,3937,7711
19,Atlanta.19,USA,Atlanta,5846.356521739131,3011.6,7942
20,Atlanta.20,USA,Atlanta,6361.973913043478,3461.4,8286.8
21,Atlanta.21,USA,Atlanta,4852.878260869566,2817.4,6868
22,Atlanta.22,USA,Atlanta,3168.478260869565,1370,5360.6
23,Atlanta.23,USA,Atlanta,4837.817391304347,2523.6,6444.6
24,Atlanta.24,USA,Atlanta,6604.965217391305,2429.6,8694.6
25,Atlanta.25,USA,Atlanta,4189.713043478261,1895.6,6714.2
26,Atlanta.26,USA,Atlanta,6271.55652173913,4662.8,8236.2
27,Atlanta.27,USA,Atlanta,5402.434782608696,3441,7429.8
28,Atlanta.28,USA,Atlanta,4701.113043478261,2767.8,7079.2
29,Atlanta.29,USA,Atlanta,5631.695652173913,2836,7642.8
30,Atlanta.30,USA,Atlanta,3439.904347826087,1802,5798.2
31,Atlanta.31,USA,Atlanta,5006.95652173913,2747.2,6917.2
32,Atlanta.32,USA,Atlanta,5651.721739130435,3365,7677.2
33,Atlanta.33,USA,Atlanta,3567.5304347826086,1822.4,5452
34,Atlanta.34,USA,Atlanta,4066.7999999999997,2071.8,5706
35,Atlanta.35,USA,Atlanta,3279.513043478261,1819,4738
36,Atlanta.36,USA,Atlanta,3113,1680.6,4729.4
37,Atlanta.37,USA,Atlanta,2033.513043478261,1010.2,2997.4
38,Atlanta.38,USA,Atlanta,1561.0869565217392,679.8,2406
39,Atlanta.39,USA,Atlanta,1967.5652173913043,629,3284.6
40,Atlanta.40,USA,Atlanta,2555.6434782608694,956.2,3921.2
41,Atlanta.41,USA,Atlanta,3170.904347826087,929.6,5448.2
42,Atlanta.42,USA,Atlanta,4268.191304347826,2274,6389.2
43,Atlanta.43,USA,Atlanta,2646.486956521739,1157.6,4173
44,Atlanta.44,USA,Atlanta,5851.391304347826,2660.8,7642
45,Atlanta.45,USA,Atlanta,4897.634782608696,2424.8,7003.4
