Site_ID,UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
1,Toronto.1,Canada,Toronto,6222.84347826087,1549.6,8894.2
2,Toronto.2,Canada,Toronto,4645.156521739131,45.8,7760.8
3,Toronto.3,Canada,Toronto,4231.147826086956,-196.6,8178
4,Toronto.4,Canada,Toronto,4393.652173913044,289.8,7852.6
5,Toronto.5,Canada,Toronto,4994.565217391304,457.2,8120.2
6,Toronto.6,Canada,Toronto,4338.4,79.4,7645.4
7,Toronto.7,Canada,Toronto,3925.895652173913,-60.8,8088.6
8,Toronto.8,Canada,Toronto,4726.973913043478,254.8,7673.4
9,Toronto.9,Canada,Toronto,4324.24347826087,52.8,7634.6
10,Toronto.10,Canada,Toronto,3661.939130434783,-143.6,7637.2
11,Toronto.11,Canada,Toronto,3991.895652173913,78.6,7186.4
12,Toronto.12,Canada,Toronto,2436.5739130434786,-57.2,5598.8
13,Toronto.13,Canada,Toronto,4416.313043478261,129.2,8130.4
14,Toronto.14,Canada,Toronto,4291.921739130435,-293.6,8097.6
15,Toronto.15,Canada,Toronto,4830.991304347826,324,8424.6
16,Toronto.16,Canada,Toronto,4422.678260869565,502.4,7646.2
17,Toronto.17,Canada,Toronto,4635.200000000001,106.8,7386.2
18,Toronto.18,Canada,Toronto,4253.521739130435,139,7506.2
19,Toronto.19,Canada,Toronto,4951.069565217391,384,7626.4
20,Toronto.20,Canada,Toronto,3717.3478260869565,146.6,5997.4
21,Toronto.21,Canada,Toronto,2918.7130434782607,-44,5232
22,Toronto.22,Canada,Toronto,2839.8695652173915,-81.4,4961
23,Toronto.23,Canada,Toronto,3095.817391304348,130.2,5955.4
24,Toronto.24,Canada,Toronto,3163.6521739130435,69.8,6155.2
25,Toronto.25,Canada,Toronto,3349.486956521739,63.4,5583.8
26,Toronto.26,Canada,Toronto,4007.182608695652,456,6462.2
27,Toronto.27,Canada,Toronto,1970.2,-90.4,3616.4
28,Toronto.28,Canada,Toronto,2808.582608695652,64.2,5393.6
